aa_page_id,page_namespace,page_title,rev_len,aa_user_id,aa_user_anon_token,aa_revision,aa_timestamp,aa_rating_wellsourced,aa_rating_neutral,aa_rating_complete,aa_rating_readable,aa_design_bucket,expertise_general,expertise_studies,expertise_profession,expertise_hobby,expertise_helpimprove_email,expertise_other
26224556,0,True_Grit_(2010_film),26616,1,a4f78992615555b1f21bf9d8a3295f939926bfc0,418604593,20110314193613,4,4,4,3,1,0,0,0,0,0,0
31653,0,First_Amendment_to_the_United_States_Constitution,69142,0,c9b336820fe52b0d96ec16674bde3e1384aa17ec,418733750,20110314202419,0,0,0,0,1,1,1,0,0,0,0
26224556,0,True_Grit_(2010_film),26616,1,243ae926c30ab27fc27d04516e280e77fe2a003c,418604593,20110314204340,4,5,4,4,1,1,0,0,0,0,0
26224556,0,True_Grit_(2010_film),26616,0,c80d296e160ad2f3937de37bd7683651e6f13f63,418604593,20110314204533,4,4,4,4,1,0,0,0,0,0,0
1058990,0,Economic_Opportunity_Act_of_1964,1213,0,b60697fa694337eda4482410d1bac0f29b4915bc,385273406,20110314205918,5,4,1,2,1,0,0,0,0,0,0
247817,0,Welfare,37257,0,b60697fa694337eda4482410d1bac0f29b4915bc,418840997,20110314210018,4,4,4,4,1,0,0,0,0,0,0
3434750,0,United_States,168360,0,e21b67c6772a4dc7f490df223a868c00e20a8f6d,418817551,20110314210145,4,4,4,4,1,0,0,0,0,0,0
3517666,0,Speed_limits_in_the_United_States,154617,0,185933fa1b17c2a94a7251452c8fc3bee66623ea,418054018,20110314210531,0,0,4,0,1,0,0,0,0,0,0
7800201,0,Gun_violence_in_the_United_States,88901,0,1949c0ee6c26991da15b9b219522fdda2d5111c9,416314608,20110314211438,4,5,3,4,1,0,0,0,0,0,0
300237,0,Permanent_residence_(United_States),42546,0,36d798459b73a218e9f37cdb299fbbc80140349b,418535882,20110314211532,0,0,0,0,1,0,0,0,0,0,0
3180351,0,Pell_Grant,9208,0,0dbe8e476edbb35eb98b743581358758e913c311,416392746,20110314215343,4,5,5,4,1,0,0,0,0,0,0
1181646,0,War_on_Drugs,64799,0,6aedee6054297d8200125a23b40b9b85769cdc32,418816513,20110314215711,4,0,0,5,1,0,0,0,0,0,0
9119240,0,United_States_Bill_of_Rights,51317,0,0cb42c098ac36d926652a1c1ce588fbe7625406f,417584215,20110314215741,4,1,3,2,1,1,1,0,0,0,0
3180351,0,Pell_Grant,9208,0,dcecd9625291ad67c6a1f394a7263e7d016737aa,416392746,20110314220227,5,5,3,4,1,0,0,0,0,0,0
26224556,0,True_Grit_(2010_film),26616,1,e215741f27e236dfec39fc665f9a96ebf436d23a,418604593,20110314221650,4,3,4,4,1,0,0,0,0,0,0
73408,0,To_Kill_a_Mockingbird,82790,0,496e680d2cc1afb417c7f84aaa3bdc97d8c5dcc5,413624799,20110314222729,2,1,1,3,1,0,0,0,0,0,0
58353,0,Medicare_(United_States),80182,1,937af6e4c4425425c18fed4728770ac810e3cfe7,415746705,20110314223913,5,5,5,5,1,1,0,0,1,0,0
300237,0,Permanent_residence_(United_States),42546,0,3d7db5fd7a3de4e5fcc65612a22241cf80f1c8d7,418535882,20110314230654,5,5,0,0,1,1,0,0,1,0,0
322221,0,United_States_public_debt,104559,0,eb7d238b97d427159162e2a17c326006e1bac349,417926122,20110314232124,4,4,3,3,1,0,0,0,0,0,0
3434750,0,United_States,168360,0,3688cffec8fa15d6adb86c1f8084295c44ae4ff3,418817551,20110314232930,4,3,3,5,1,0,0,0,0,0,0
188746,0,Civil_Rights_Act_of_1964,43877,0,af3438fea8d39783eae4348fb8a7198fa709be6d,418800405,20110314234509,2,3,3,4,1,1,0,0,0,0,1
27895148,0,2011_NBA_Playoffs,3222,0,d30d7fa5edb7416c99c9f19ba1d4887d0462c1fd,418572110,20110314235150,5,5,5,5,1,0,0,0,0,0,0
3434750,0,United_States,168360,0,83ed0a79a07362530fd4b5bc30606b3225390e76,418817551,20110314235704,1,3,3,1,1,1,0,0,0,0,1
30636,0,Terrorism,81429,0,0b38c17470b40bea1503b949db35e427b6acce50,418735802,20110314235742,5,5,4,4,1,0,0,0,0,0,0
3434750,0,United_States,168360,0,d89b9b1ffeb8056f8047387e2714cbd7807b4f0d,418817551,20110315001706,5,5,5,5,1,0,0,0,0,0,0
55794,0,Medicaid,28334,0,27d18a4592a584d20eda76f02028e4e274fe4017,417823890,20110315002126,5,3,5,4,1,0,0,0,0,0,0
48728,0,Social_Security_(United_States),127979,0,81a87d6da8d4b003f2273aeaf5d633e1b23ecca8,418082663,20110315004628,0,0,4,0,1,0,0,0,0,0,0
27895148,0,2011_NBA_Playoffs,3222,0,15cec30c33bffd47f4fe41944d7c531d09738372,418572110,20110315004647,5,2,1,2,1,1,0,0,1,0,0
433590,0,Federal_Aid_Highway_Act_of_1956,9035,0,866fb8f93a93e51ecfedc2f4a9d119dcec61ee6b,413976673,20110315012634,5,5,4,4,1,0,0,0,0,0,0
22050,0,North_American_Free_Trade_Agreement,45746,0,0ecd035bf3dc2adf59aacbe1cfeed7588739d1fd,418877776,20110315013918,4,5,5,5,1,1,0,0,0,0,1
12227088,0,Geosocial_networking,11523,0,1acc0744334e03c923c1e7a0633f888230ac99e2,412815081,20110315014907,4,3,4,3,1,0,0,0,0,0,0
3434750,0,United_States,168358,0,f75ffffea835fa9e6fbe88f00f72f66b65bee2ed,418879193,20110315015205,4,4,5,5,1,0,0,0,0,0,0
19283361,0,New_Deal,118936,0,65710c39bfa889f715ea09f06ecb0e3219854ce0,418846168,20110315015843,5,5,5,5,1,0,0,0,0,0,0
25037165,0,Dodd–Frank_Wall_Street_Reform_and_Consumer_Protection_Act,129432,0,5a01c954d0693877674463384a8f7cb25c9beeb6,418810321,20110315020000,0,0,0,0,1,0,0,0,0,0,0
27895148,0,2011_NBA_Playoffs,3222,0,217eb7722059ab16230d1f8b17fd7f3dd313265c,418572110,20110315020033,5,4,3,5,1,0,0,0,0,0,0
55974,0,Federal_Communications_Commission,63570,0,27342c3674ac9cef814b124c3acca881918c9e2d,418013645,20110315021046,2,2,1,3,1,0,0,0,0,0,0
88559,0,Eisenhower_Doctrine,4330,0,833f0d14320bf689b6427361694864dbaa7c6d63,416982389,20110315021259,5,4,2,4,1,0,0,0,0,0,0
27895148,0,2011_NBA_Playoffs,3222,0,f518fbdec17997cf7d385c3e55f007b9902cfd49,418572110,20110315022239,5,5,4,4,1,1,0,0,1,0,0
26224556,0,True_Grit_(2010_film),26616,1,a8d58163e49ce8a485701c701d50f0b207623a91,418604593,20110315022407,3,2,4,2,1,0,0,0,0,0,0
28920167,0,De-Ba'athification,90993,0,6267083e240ba95e3f6ebeb36036e2ec8e7c6d50,412432809,20110315023119,4,4,4,4,1,0,0,0,0,0,0
10745492,0,5_centimeter_band,915,0,6267083e240ba95e3f6ebeb36036e2ec8e7c6d50,400554191,20110315023750,2,2,2,2,1,0,0,0,0,0,0
8426122,0,Network_neutrality_in_the_United_States,58421,0,27342c3674ac9cef814b124c3acca881918c9e2d,418704167,20110315025522,1,1,1,1,1,1,0,0,0,0,1
210545,0,Industrialisation,29233,0,e8209e2408e9ba050f3c423b2460b281f9fa53e7,418796215,20110315030100,5,4,3,3,1,0,0,0,0,0,0
2802549,0,DREAM_Act,24743,0,d84506b7c7b09a7452027b87061af98e981d0c99,418048818,20110315031555,0,0,0,0,1,0,0,0,0,0,0
3277411,0,Civil_Service_Reform_Act_of_1978,2387,0,183a4f5886f226e6adabd2eb0b6930a11ea8fc6b,416146200,20110315032039,5,5,4,5,1,0,0,0,0,0,0
25957483,0,Race_to_the_Top,18621,0,3d4bb490fd69a235254b392288a0a25ee837da59,411281675,20110315032547,4,3,3,5,1,0,0,0,0,0,0
27895148,0,2011_NBA_Playoffs,3222,0,fa290c77194a0042622875978f8adeaff5550e8c,418572110,20110315033735,5,5,5,5,1,1,0,0,1,0,0
23576552,0,83rd_Academy_Awards,50581,0,ce3b50e895d853413bf84ffd80ddbacd08feb81a,418682727,20110315034212,5,5,5,5,1,0,0,0,0,0,0
48728,0,Social_Security_(United_States),127979,0,86b5f83f57f5343af76e86c61acb4b635846fb9e,418082663,20110315040054,5,5,5,5,1,1,1,0,0,0,0
247817,0,Welfare,37257,0,6069b9eb2f76ffb8a54681c8775b57991e283601,418840997,20110315040250,5,5,5,5,1,1,1,1,0,0,0
146273,0,Gibbons_v._Ogden,8884,0,7f72276bfcb9e7bf3f5089cd16bedbd1a0421901,418143567,20110315041421,5,4,3,4,1,0,0,0,0,0,0
24362069,0,East_Asian_foreign_policy_of_the_Barack_Obama_administration,16158,1,7856db9869b0c8a482ab859fbd6214073c03d3a8,414136271,20110315041847,0,0,2,0,1,0,0,0,0,0,0
27936,0,Spider-Man,81759,1,0018dd4fbabd2c609a3ba7902c0341a3b522d6d5,418411485,20110315043021,3,4,2,4,1,0,0,0,0,0,0
811932,0,Equal_Employment_Opportunity_Commission,11428,1,4d8818e066f5844e936eac2d01520c50bc2db5c0,417727210,20110315043041,5,5,2,5,1,1,0,0,0,0,1
90664,0,Manifest_Destiny,53792,0,3d6abd6314ca8caf6ef2c9d41fa26cc390a55de0,418861557,20110315043147,0,5,0,0,1,0,0,0,0,0,0
24909346,0,United_States_Senate,64985,0,ee376d1f0e3656b999a2a8b69b705b1a66f40891,417978726,20110315043324,5,5,5,5,1,1,1,1,1,0,1
1203070,0,Government_spending,10655,0,fa228fa973078d3bae9d8cafdbbae45c625916ce,415537895,20110315043634,2,2,1,2,1,0,0,0,0,0,0
372347,0,Jacksonian_democracy,25782,0,32aa8ee85afd01cee95be7c0a5ff0ee45919cbb8,418787224,20110315044134,1,1,1,1,1,1,0,1,0,0,0
2263372,0,Joran_van_der_Sloot,92550,0,36daac8d3a8033301d830d353e1386021085a5a1,418676447,20110315044723,5,5,4,5,1,1,0,0,1,0,0
1504605,0,Homeland_Security_Act,17284,0,1c997f80175332d5d0f5aca45166e323105befc0,413488876,20110315045403,0,0,0,4,1,0,0,0,0,0,0
