searched_item_unit_id,searched_item_query,searched_item_accuracy,total_average_accuracy_for_experiment
711158459,playstation 4,0.9,0.8512195121951219
711158460,playstation 4,0.9,
711158484,eye cream,1.0,
711158485,eye cream,0.9,
711158509,routers,1.0,
711158510,routers,0.7,
711158534,shaver panasonic,1.0,
711158535,shaver panasonic,1.0,
711158559,coffee grinder,1.0,
711158560,coffee grinder,1.0,
711158584,high chairs,0.3,
711158585,high chairs,1.0,
711158609,face cream,0.6,
711158610,face cream,0.9,
711158634,Brett Favre NY Titans jersey blue,1.0,
711158635,Brett Favre NY Titans jersey blue,1.0,
711158659,aroma diffuser,1.0,
711158660,aroma diffuser,1.0,
711158684,Bluray Hobbit extended,1.0,
711158685,Bluray Hobbit extended,1.0,
711158709,white plain dinner set,1.0,
711158710,white plain dinner set,-1,
711158734,double stroller,1.0,
711158735,double stroller,1.0,
711158759,Vanilla Scented Perfumes,1.0,
711158760,Vanilla Scented Perfumes,1.0,
711158784,wireless mouse,1.0,
711158785,wireless mouse,1.0,
711158809,spiderman,1.0,
711158810,spiderman,1.0,
711158834,bedspreads,1.0,
711158835,bedspreads,1.0,
711158859,kitchen rugs,1.0,
711158860,kitchen rugs,0.1,
711158884,LED monitor,1.0,
711158885,LED monitor,1.0,
711158909,PS2 controller USB,0.5,
711158910,PS2 controller USB,1.0,
711158934,extenal hardisk 500 gb,1.0,
711158935,extenal hardisk 500 gb,1.0,
711158959,laptop lenovo,0.1,
