title_searched_item,query_searched_item,word2vec_wmd_title_similar_item,word2vec_wmd_query_similar_item,word2vec_cosine_similarity_title_similar_item,word2vec_cosine_similarity_query_similar_item,fasttext_cosine_similarity_title_similar_item,fasttext_cosine_similarity_query_similar_item
Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4
Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 (Latest Model) 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4
Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console,playstation 4
Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 (Latest Model) 500 GB Jet Black Console,playstation 4
Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console *NEW*,playstation 4,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console *NEW*,playstation 4,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console *NEW*,playstation 4
Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 (Latest Model) 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4
Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 PS4 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 PS4 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 PS4 500 GB Jet Black Console,playstation 4
Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 500GB Console with 2 Controllers,playstation 4,Sony PlayStation 4 500GB Console with 2 Controllers,playstation 4,Sony PlayStation 4 500GB Console with 2 Controllers,playstation 4
Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,"Sony PlayStation 4 500GB, Dualshock Wireless Control, HDMI Gaming Console Refurb",playstation 4,"Sony PlayStation 4 500GB, Dualshock Wireless Control, HDMI Gaming Console Refurb",playstation 4,"Sony PlayStation 4 500GB, Dualshock Wireless Control, HDMI Gaming Console Refurb",playstation 4
Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console,playstation 4,"LG Flatron E2340T 23 Widescreen LED LCD Monitor""",LED monitor,"LG Flatron E2340T 23 Widescreen LED LCD Monitor""",LED monitor
Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4
Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 (Latest Model) 500 GB Jet Black Console,playstation 4,Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4
