,targetIndex,targetTitle,targetSearchQuery,targetRelevanceToQuery,targetDescription,"targetproduct_title,product_description_preprocessed",similarIndex,similarTitle,similarSearchQuery,similarRelevanceToQuery,similarDescription,"similarproduct_title,product_description_preprocessed",WMDRank,WMDSimilarity,WMDAccuracy
0,225,The Hobbit-An Unexpected Journey Extended Edition (3D Blu-Ray + 2D Blu-ray + DVD,Bluray Hobbit extended,4.0,,"['unexpected', 'journey', 'extended', 'edition', 'dvd']",225,The Hobbit-An Unexpected Journey Extended Edition (3D Blu-Ray + 2D Blu-ray + DVD,Bluray Hobbit extended,4.0,,"['unexpected', 'journey', 'extended', 'edition', 'dvd']",0,1.0,1.0
1,,,,,,,237,The Hobbit: An Unexpected Journey (Blu-ray - Extended Edition) NEW-PG-13,Bluray Hobbit extended,4.0,,"['hobbit', 'unexpected', 'journey', 'extended', 'edition']",1,0.7936124950096659,
2,,,,,,,247,THE HOBBIT: AN UNEXPECTED JOURNEY EXTENDED BLU-RAY EDITION,Bluray Hobbit extended,4.0,,"['hobbit', 'unexpected', 'journey', 'extended', 'edition']",2,0.7936124950096659,
3,,,,,,,245,The Hobbit: An Unexpected Journey Blu-Ray Extended Edition,Bluray Hobbit extended,3.67,,"['hobbit', 'unexpected', 'journey', 'extended', 'edition']",3,0.7936124950096659,
4,,,,,,,229,The Hobbit: An Unexpected Journey Extended Edition 3D Blu-ray,Bluray Hobbit extended,3.67,,"['hobbit', 'unexpected', 'journey', 'extended', 'edition']",4,0.7936124950096659,
5,,,,,,,242,The Hobbit An Unexpected Journey Extended Edition 3D Bluray,Bluray Hobbit extended,4.0,,"['hobbit', 'unexpected', 'journey', 'extended', 'edition', 'bluray']",5,0.736407154396115,
6,,,,,,,249,"The Hobbit: An Unexpected Journey (Extended Edition) (Blu-ray), New",Bluray Hobbit extended,4.0,,"['hobbit', 'unexpected', 'journey', 'extended', 'edition', 'new']",6,0.6963517259377385,
7,,,,,,,230,"The Hobbit: An Unexpected Journey ( Blu-ray, 3-Disc Set, Extended Edition )",Bluray Hobbit extended,4.0,,"['hobbit', 'unexpected', 'journey', 'set', 'extended', 'edition']",7,0.6947673548032748,
8,,,,,,,228,"The Hobbit: An Unexpected Journey (Blu-ray Disc, 2013, Extended Edition) NEW",Bluray Hobbit extended,4.0,,"['hobbit', 'unexpected', 'journey', 'disc', 'extended', 'edition', 'new']",8,0.6640496746590616,
9,,,,,,,240,The Hobbit - An Unexpected Journey Extended Edition Blu-ray + Exclusive Statue!!,Bluray Hobbit extended,3.67,,"['hobbit', 'unexpected', 'journey', 'extended', 'edition', 'exclusive', 'statue']",9,0.6423368354879201,
10,,,,,,,243,"The Hobbit: An Unexpected Journey (3D/2D Blu-ray, 2013, 5-Disc Set, Extended Ed.",Bluray Hobbit extended,2.0,,"['hobbit', 'unexpected', 'journey', 'set', 'extended', 'ed']",10,0.6058370277895402,
11,,,,,,,227,THE HOBBIT An Unexpected Journey EXTENDED EDITION Blu Ray 3 Disc NEW,Bluray Hobbit extended,4.0,,"['hobbit', 'unexpected', 'journey', 'extended', 'edition', 'blu', 'ray', 'disc', 'new']",11,0.5995201950607206,
12,,,,,,,244,"The Hobbit: An Unexpected Journey (Blu-ray Disc, 2013, 3-Disc Set, Extended Ed",Bluray Hobbit extended,4.0,,"['hobbit', 'unexpected', 'journey', 'disc', 'set', 'extended', 'ed']",12,0.5889358520593029,
13,,,,,,,238,The Hobbit: The Desolation of Smaug bluray+bluray 3D+digital HD extended edition,Bluray Hobbit extended,3.67,,"['hobbit', 'desolation', 'smaug', 'hd', 'extended', 'edition']",13,0.5816590260223049,
14,,,,,,,233,The Hobbit-Desolation of Smaug Extended Edition (3D Blu-Ray/5 Disc),Bluray Hobbit extended,3.33,,"['smaug', 'extended', 'edition', 'disc']",14,0.5786135899630473,
15,,,,,,,248,Hobbit Unexpected Journey Desolation Of Smaug 3D Blu-ray Extended Limited NEW,Bluray Hobbit extended,4.0,,"['hobbit', 'unexpected', 'journey', 'desolation', 'smaug', 'extended', 'limited', 'new']",15,0.576949034313616,
16,,,,,,,235,"Hobbit: The Desolation of Smaug - Extended Edition (3D Blu-ray, 2D Blu-ray) NEW",Bluray Hobbit extended,4.0,,"['hobbit', 'desolation', 'smaug', 'extended', 'edition', 'new']",16,0.576126932483877,
17,,,,,,,226,The Hobbit: The Desolation of Smaug Extended Edition (Blu-Ray/3 Disc) NEW,Bluray Hobbit extended,2.0,,"['hobbit', 'desolation', 'smaug', 'extended', 'edition', 'disc', 'new']",17,0.5612212357167797,
18,,,,,,,239,"The Hobbit: The Desolation of Smaug (Blu-ray Disc, 2014 3D Extended Edition) NEW",Bluray Hobbit extended,3.67,,"['hobbit', 'desolation', 'smaug', 'disc', 'extended', 'edition', 'new']",18,0.5612212357167797,
19,,,,,,,241,The Hobbit An Unexpected Journey Extended Cut Best Buy Steelbook Blu-ray 3D (US),Bluray Hobbit extended,3.67,,"['hobbit', 'unexpected', 'journey', 'extended', 'cut', 'best', 'buy', 'steelbook', 'us']",19,0.5422167301986196,
