,targetIndex,targetTitle,targetSearchQuery,targetRelevanceToQuery,targetDescription,"targetproduct_title,product_description_preprocessed",similarIndex,similarTitle,similarSearchQuery,similarRelevanceToQuery,similarDescription,"similarproduct_title,product_description_preprocessed",WMDRank,WMDSimilarity,WMDAccuracy
0,424,"New Samsung 27 SD360 Series S27D360H White High Glossy ToC LED W/ HDMI Monitor""",LED monitor,3.75,,"['new', 'samsung', 'series', 'white', 'high', 'glossy', 'toc', 'led', 'hdmi', 'monitor']",424,"New Samsung 27 SD360 Series S27D360H White High Glossy ToC LED W/ HDMI Monitor""",LED monitor,3.75,,"['new', 'samsung', 'series', 'white', 'high', 'glossy', 'toc', 'led', 'hdmi', 'monitor']",0,1.0,0.95
1,,,,,,,445,"Samsung S27D360H 27 LED Monitor White w/ Blue ToC Finish Full 1080p!!!!""",LED monitor,2.4,,"['samsung', 'led', 'monitor', 'white', 'blue', 'toc', 'finish', 'full']",1,0.6201533284134391,
2,,,,,,,435,"NEW Ultra Slim Black 19 5ms Widescreen LED LCD HD Monitor W/ VGA DVI & Speakers""",LED monitor,4.0,,"['new', 'ultra', 'slim', 'black', 'widescreen', 'led', 'lcd', 'hd', 'monitor', 'vga', 'dvi', 'speakers']",2,0.5633237744795542,
3,,,,,,,447,"Samsung 23.6 1080p Widescreen LED LCD Monitor (S24C230BL)""",LED monitor,4.0,,"['samsung', 'widescreen', 'led', 'lcd', 'monitor']",3,0.55024291234818,
4,,,,,,,427,"Acer S231HL 23 LED Widescreen Monitor 16:9 1920x1080 DVI HDMI VGA""",LED monitor,3.0,,"['acer', 'led', 'widescreen', 'monitor', 'dvi', 'hdmi', 'vga']",4,0.5451891062947772,
5,,,,,,,428,"Samsung 21.5 LED LCD Monitor  (S22D300NY)""",LED monitor,4.0,,"['samsung', 'led', 'lcd', 'monitor']",5,0.5441547802424437,
6,,,,,,,437,"Asus VS229H-P- 21.5 IPS LED HD Monitor - Black""",LED monitor,4.0,,"['asus', 'ips', 'led', 'hd', 'monitor', 'black']",6,0.5317212338076989,
7,,,,,,,425,Dell D2015H 20in Ultra Slim LED LCD Monitor Full 1080P HD W/ VGA & VESA,LED monitor,4.0,,"['dell', 'ultra', 'slim', 'led', 'lcd', 'monitor', 'full', 'hd', 'vga', 'vesa']",7,0.5267583956122172,
8,,,,,,,430,"Dell Ultra Slim Black 24 5ms Widescreen LED LCD HD Monitor W/ VGA DVI +3YR Warr""",LED monitor,4.0,"Dell E2414H 24 Full HD 1080p LED Backlit LCD Monitor, 1000:1 Contrast Ratio, 250 cd/m2 Brightness, 5ms Response Time, DVI-D/VGA Dell E2414H 24 Full HD 1080p LED Backlit LCD Monitor offers a 1920 x 1080 at 60Hz optimal resolution, 170deg.","['dell', 'ultra', 'slim', 'black', 'widescreen', 'led', 'lcd', 'hd', 'monitor', 'vga', 'dvi', 'warr', 'dell', 'full', 'hd', 'led', 'backlit', 'lcd', 'monitor', 'contrast', 'ratio', 'brightness', 'response', 'time', 'dell', 'full', 'hd', 'led', 'backlit', 'lcd', 'monitor', 'offers', 'x', 'optimal', 'resolution']",8,0.5260179735526834,
9,,,,,,,441,"Acer V276HL 27 Inch Monitor, LED LCD, DVI-D/VGA, 100M:1 Contrast Ratio",LED monitor,4.0,,"['acer', 'inch', 'monitor', 'led', 'lcd', 'contrast', 'ratio']",9,0.5232670163009787,
10,,,,,,,432,"ViewSonic VA2037a-LED 20 Widescreen LED LCD Monitor""",LED monitor,4.0,,"['viewsonic', 'widescreen', 'led', 'lcd', 'monitor']",10,0.5220382521369076,
11,,,,,,,448,"Dell P2212HB 22 LED VGA DVI USB 1920 x 1080 WideScreen Monitor *""",LED monitor,4.0,,"['dell', 'led', 'vga', 'dvi', 'usb', 'x', 'widescreen', 'monitor']",11,0.5213231674518972,
12,,,,,,,433,"Acer S220HQL B 22 Widescreen LED LCD Monitor""",LED monitor,4.0,,"['acer', 'b', 'widescreen', 'led', 'lcd', 'monitor']",12,0.520868228026539,
13,,,,,,,440,"Dell 22 Full HD Widescreen LED Monitor #E2215HV""",LED monitor,3.33,,"['dell', 'full', 'hd', 'widescreen', 'led', 'monitor']",13,0.5197726963910732,
14,,,,,,,438,"HP LV2011 20 Widescreen LED LCD Monitor""",LED monitor,3.67,,"['hp', 'widescreen', 'led', 'lcd', 'monitor']",14,0.5197526469365593,
15,,,,,,,443,"HP 2311X 23 Widescreen LED LCD Monitor""",LED monitor,4.0,,"['hp', 'widescreen', 'led', 'lcd', 'monitor']",15,0.5197526469365593,
16,,,,,,,444,"Dell S2440L 24 LED LCD Monitor - 16:9 - 6 ms C9VNT""",LED monitor,4.0,,"['dell', 'led', 'lcd', 'monitor', 'ms']",16,0.5154380221479348,
17,,,,,,,426,"ELO 22 Touchscreen LED MONITOR 2201L E497002 Brand New*""",LED monitor,4.0,,"['elo', 'touchscreen', 'led', 'monitor', 'brand']",17,0.5086271137811534,
18,,,,,,,466,New high qualtiy PS1 PS2 PSX to PC USB CONTROLLER ADAPTER CONVERTER #9748 EC,PS2 controller USB,3.0,,"['new', 'high', 'qualtiy', 'psx', 'pc', 'usb', 'controller', 'adapter', 'converter', 'ec']",18,0.5071667128817768,
19,,,,,,,436,AOC PORTABLE USB LED MONITOR,LED monitor,4.0,,"['aoc', 'portable', 'usb', 'led', 'monitor']",19,0.5069390281140377,
