,targetIndex,targetTitle,targetSearchQuery,targetRelevanceToQuery,targetDescription,"targetproduct_title,product_description_preprocessed",similarIndex,similarTitle,similarSearchQuery,similarRelevanceToQuery,similarDescription,"similarproduct_title,product_description_preprocessed",WMDRank,WMDSimilarity,WMDAccuracy
0,449,PS1 PS2 PSX to PC USB Dual Controller Adapter Converter,PS2 controller USB,2.33,"International Buyers &#8211; Please Note: <br>a. Import duties, taxes and charges are not included in the item price or shipping charges. These charges are the buyer&#8217;s responsibility.<br>b. Please check with your country&#8217;s customs office to determine what these additional costs will be prior to bidding/buying.</br></br>","['psx', 'pc', 'usb', 'dual', 'controller', 'adapter', 'converter', 'international', 'buyers', 'please', 'note', 'br', 'import', 'duties', 'taxes', 'charges', 'included', 'item', 'price', 'shipping', 'charges', 'charges', 'buyer', 'br', 'b', 'please', 'check', 'country', 'customs', 'office', 'determine', 'additional', 'costs', 'prior']",449,PS1 PS2 PSX to PC USB Dual Controller Adapter Converter,PS2 controller USB,2.33,"International Buyers &#8211; Please Note: <br>a. Import duties, taxes and charges are not included in the item price or shipping charges. These charges are the buyer&#8217;s responsibility.<br>b. Please check with your country&#8217;s customs office to determine what these additional costs will be prior to bidding/buying.</br></br>","['psx', 'pc', 'usb', 'dual', 'controller', 'adapter', 'converter', 'international', 'buyers', 'please', 'note', 'br', 'import', 'duties', 'taxes', 'charges', 'included', 'item', 'price', 'shipping', 'charges', 'charges', 'buyer', 'br', 'b', 'please', 'check', 'country', 'customs', 'office', 'determine', 'additional', 'costs', 'prior']",0,1.0,1.0
1,,,,,,,457,Controller Guitar adapter USB converter for PS2 to PS3,PS2 controller USB,2.5,"International Buyers &#8211; Please Note: <br>a. Import duties, taxes and charges are not included in the item price or shipping charges. These charges are the buyer&#8217;s responsibility.<br>b. Please check with your country&#8217;s customs office to determine what these additional costs will be prior to bidding/buying.</br></br>","['controller', 'guitar', 'adapter', 'usb', 'converter', 'international', 'buyers', 'please', 'note', 'br', 'import', 'duties', 'taxes', 'charges', 'included', 'item', 'price', 'shipping', 'charges', 'charges', 'buyer', 'br', 'b', 'please', 'check', 'country', 'customs', 'office', 'determine', 'additional', 'costs', 'prior']",1,0.924885520648161,
2,,,,,,,460,Dual PS1 PS2 PSX Controller Game Console Joystick To PC USB Converter Adapter BL,PS2 controller USB,2.8,,"['dual', 'psx', 'controller', 'game', 'console', 'joystick', 'pc', 'usb', 'converter', 'adapter', 'bl']",2,0.4868577770006967,
3,,,,,,,469,USB converter Controller Adapter for Sony PS1 PS2 PSX Playstation 2 Dual to PC,PS2 controller USB,2.67,,"['usb', 'converter', 'controller', 'adapter', 'sony', 'psx', 'playstation', 'dual', 'pc']",3,0.4847268331435553,
4,,,,,,,451,For PS1 PS2 PSX Playstation 2 Joypad Game Controller to PC USB Converter Adapter,PS2 controller USB,3.67,"Product names are trademarks of the listed manufacturer or other owners, and are not trademarks of digitalaccessoriesstore Corporation. The manufacturer does not necessarily endorse use of these products.","['psx', 'playstation', 'joypad', 'game', 'controller', 'pc', 'usb', 'converter', 'adapter', 'product', 'names', 'trademarks', 'listed', 'manufacturer', 'owners', 'trademarks', 'digitalaccessoriesstore', 'corporation', 'manufacturer', 'necessarily', 'endorse', 'use', 'products']",4,0.4838951463022659,
5,,,,,,,455,New high qualtiy PS1 PS2 PSX to PC USB CONTROLLER ADAPTER CONVERTER SY,PS2 controller USB,3.67,"eBay item number:331380391019


	Seller assumes all responsibility for this listing.
	
		Last updated on
		&nbsp;May 04, 2015 05:50:35 PDT&nbsp;
		View all revisions
		
	

		
			
					<strong>Item specifics</strong>
					<table>
						
						<tr>
									<td>
									 			Condition:</td>
											 
											<td>
												
																	
															
															
															
																New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is 
																
																			applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.
																					See all condition definitions<strong>- opens in a new window or tab</strong>
																			
																		
																		
																		
																			... Read more<strong>about the condition</strong>	
																		
																	
															
														
													</td>
										<td>
									 			Type: </td>
											 
											<td>
												Controller Adapter</td>
										</tr>
							<tr>
									<td>
									 			Platform: </td>
											 
											<td>
												PC</td>
										</tr>
							
							</table>
						
					
			
	
				<table>
	<tr>
		<td>
			
sgbyincons



#bigBox1{
 margin:0 auto;
 overflow:hidden;
 text-align:top;
 border:10px solid #e3f4e1;
 background:#fff;
}
pre{
font-size:14px;
white-space: pre-wrap!important;
word-wrap: break-word!important;
}

#bigBox1 li{
    text-align:center;
    list-style:none;
}
.images{background:#ffffff;padding:50px 0;}


</td></tr></table>","['new', 'high', 'qualtiy', 'psx', 'pc', 'usb', 'controller', 'adapter', 'converter', 'sy', 'ebay', 'item', 'seller', 'assumes', 'responsibility', 'listing', 'last', 'updated', 'nbsp', 'may', 'pdt', 'nbsp', 'view', 'revisions', 'strong', 'item', 'specifics', 'table', 'tr', 'td', 'condition', 'td', 'new', 'unused', 'unopened', 'undamaged', 'item', 'original', 'packaging', 'packaging', 'applicable', 'packaging', 'found', 'retail', 'store', 'unless', 'item', 'handmade', 'packaged', 'manufacturer', 'packaging', 'unprinted', 'box', 'plastic', 'bag', 'see', 'seller', 'listing', 'full', 'details', 'see', 'condition', 'definitions', 'strong', 'opens', 'new', 'window', 'tab', 'read', 'strong', 'condition', 'td', 'type', 'td', 'controller', 'adapter', 'tr', 'td', 'platform', 'td', 'pc', 'table', 'tr', 'td', 'sgbyincons', 'auto', 'overflow', 'hidden', 'top', 'solid', 'background', 'fff', 'pre', 'important', 'important', 'li', 'center', 'none', 'background', 'ffffff']",5,0.4813530937616101,
6,,,,,,,458,New high qualtiy PS1 PS2 PSX to PC USB CONTROLLER ADAPTER CONVERTER #9748 AP,PS2 controller USB,3.33,,"['new', 'high', 'qualtiy', 'psx', 'pc', 'usb', 'controller', 'adapter', 'converter', 'ap']",6,0.4782391991676019,
7,,,,,,,459,New USB PC Game Controller Converter Adapter For PS2 to PS3 Sony Playstation,PS2 controller USB,2.0,,"['new', 'usb', 'pc', 'game', 'controller', 'converter', 'adapter', 'sony', 'playstation']",7,0.4781632534394953,
8,,,,,,,452,Brand New Popular For PS2 Game Controller to PS3 PC USB Adapter Converter,PS2 controller USB,2.33,,"['brand', 'new', 'popular', 'game', 'controller', 'pc', 'usb', 'adapter', 'converter']",8,0.4779621589248203,
9,,,,,,,454,Sony Playstation PS2 to USB Dual Controller PC Adapter,PS2 controller USB,3.33,,"['sony', 'playstation', 'usb', 'dual', 'controller', 'pc', 'adapter']",9,0.47759165069452664,
