,targetIndex,targetTitle,targetSearchQuery,targetRelevanceToQuery,targetDescription,"targetproduct_title,product_description_preprocessed",similarIndex,similarTitle,similarSearchQuery,similarRelevanceToQuery,similarDescription,"similarproduct_title,product_description_preprocessed",WMDRank,WMDSimilarity,WMDAccuracy
0,300,Vanilla Tahitian ~10ml bottle PERFUME BODY OIL Strong Scented FRAGRANCE,Vanilla Scented Perfumes,3.2,,"['vanilla', 'tahitian', 'bottle', 'perfume', 'body', 'oil', 'strong', 'scented', 'fragrance']",300,Vanilla Tahitian ~10ml bottle PERFUME BODY OIL Strong Scented FRAGRANCE,Vanilla Scented Perfumes,3.2,,"['vanilla', 'tahitian', 'bottle', 'perfume', 'body', 'oil', 'strong', 'scented', 'fragrance']",0,1.0,1.0
1,,,,,,,301,Patchouli Vanilla~10ml bottle PERFUME BODY OIL Strong Scented FRAGRANCE,Vanilla Scented Perfumes,3.67,,"['patchouli', 'bottle', 'perfume', 'body', 'oil', 'strong', 'scented', 'fragrance']",1,0.8813157661888109,
2,,,,,,,304,Vanilla Champagne~10ml Roll on bottle PERFUME BODY OIL Scented FRAGRANCE,Vanilla Scented Perfumes,3.4,,"['vanilla', 'roll', 'bottle', 'perfume', 'body', 'oil', 'scented', 'fragrance']",2,0.85737263433026,
3,,,,,,,310,Vanilla Sugar~HUGE 1.25oz Rollon Roll on Perfume Body Oil Fragrance Scented,Vanilla Scented Perfumes,3.4,,"['vanilla', 'rollon', 'roll', 'perfume', 'body', 'oil', 'fragrance', 'scented']",3,0.755551132373773,
4,,,,,,,306,Fragrance Luxury Body Oil Vanilla & Sandalwood Scented 1/3 oz Roll on Bottle NEW,Vanilla Scented Perfumes,3.67,,"['fragrance', 'luxury', 'body', 'oil', 'vanilla', 'sandalwood', 'scented', 'oz', 'roll', 'bottle', 'new']",4,0.6440487119167839,
5,,,,,,,320,Divine Vanilla Spirit~Silky Dry Oil Fragrance Perfume Scented Mist Spray 1oz,Vanilla Scented Perfumes,3.33,,"['divine', 'vanilla', 'dry', 'oil', 'fragrance', 'perfume', 'scented', 'mist', 'spray']",5,0.6426883037144774,
6,,,,,,,316,Coconut Vanilla~Silky Dry Oil Fragrance Perfume Scented Mist Spray 1oz,Vanilla Scented Perfumes,3.67,,"['coconut', 'dry', 'oil', 'fragrance', 'perfume', 'scented', 'mist', 'spray']",6,0.62583504196504,
7,,,,,,,314,JASMINE VANILLA Handmade Scented Perfume Oil Roll-On (10ml),Vanilla Scented Perfumes,4.0,,"['jasmine', 'vanilla', 'handmade', 'scented', 'perfume', 'oil']",7,0.6243012958339156,
8,,,,,,,322,JASMINE VANILLA Handmade Scented Dry OIl Perfume,Vanilla Scented Perfumes,2.8,,"['jasmine', 'vanilla', 'handmade', 'scented', 'dry', 'oil', 'perfume']",8,0.6208703843175156,
9,,,,,,,303,Patchouli Vanilla~HAIR & BODY PERFUME FRAGRANCE Scented SPRAY MIST~1oz Sample,Vanilla Scented Perfumes,3.67,,"['patchouli', 'body', 'perfume', 'fragrance', 'scented', 'spray', 'sample']",9,0.618910029824942,
10,,,,,,,311,VANILLA SUGAR Handmade Scented Dry OIl Perfume,Vanilla Scented Perfumes,2.2,,"['vanilla', 'sugar', 'handmade', 'scented', 'dry', 'oil', 'perfume']",10,0.6156458591687649,
11,,,,,,,315,VANILLA BEAN Handmade Scented Dry OIl Perfume,Vanilla Scented Perfumes,3.67,,"['vanilla', 'bean', 'handmade', 'scented', 'dry', 'oil', 'perfume']",11,0.6126024855720672,
12,,,,,,,305,VANILLA BIRTHDAY CAKE Handmade Scented Dry OIl Perfume,Vanilla Scented Perfumes,3.67,,"['vanilla', 'birthday', 'cake', 'handmade', 'scented', 'dry', 'oil', 'perfume']",12,0.6100499017510167,
13,,,,,,,307,Auric Blends Natural Roll On Scented Perfume Oil - You Pick the Fragrance!,Vanilla Scented Perfumes,2.8,,"['auric', 'blends', 'natural', 'roll', 'scented', 'perfume', 'oil', 'pick', 'fragrance']",13,0.6077477052998527,
14,,,,,,,312,Auric Blends Scented Oils 1/3oz Perfume Vanilla Natural Roll On Wicca Bottle,Vanilla Scented Perfumes,3.67,,"['auric', 'blends', 'scented', 'oils', 'perfume', 'vanilla', 'natural', 'roll', 'wicca', 'bottle']",14,0.5924569868016314,
15,,,,,,,321,Auric Blends Roll On Scented Perfume Oil Twin (2) Pack - You Pick the Scent,Vanilla Scented Perfumes,2.8,,"['auric', 'blends', 'roll', 'scented', 'perfume', 'oil', 'twin', 'pack', 'pick', 'scent']",15,0.5542228494233099,
16,,,,,,,313,Auric Blends Scented Oils 1/3oz Perfume Vanilla Musk Natural Roll On Wicca,Vanilla Scented Perfumes,3.67,,"['auric', 'blends', 'scented', 'oils', 'perfume', 'vanilla', 'musk', 'natural', 'roll', 'wicca']",16,0.553137905799323,
17,,,,,,,323,5 Auric Blends Scented Oils 1/3oz Perfume Vanilla Musk Natural Roll On Wicca,Vanilla Scented Perfumes,3.67,,"['auric', 'blends', 'scented', 'oils', 'perfume', 'vanilla', 'musk', 'natural', 'roll', 'wicca']",17,0.553137905799323,
18,,,,,,,309,18 Vanilla Musk Scented Soy Wax Tart Melts Perfume Cologne Mothers Day Handmade,Vanilla Scented Perfumes,2.0,,"['vanilla', 'musk', 'scented', 'soy', 'wax', 'tart', 'melts', 'perfume', 'cologne', 'mothers', 'day', 'handmade']",18,0.5307325199424775,
19,,,,,,,319,Karmin-VANILLA-6 Drawer Liners Sheets-2 Scented Perfume Sachets Set- 3 Pkg Lot,Vanilla Scented Perfumes,3.2,,"['drawer', 'liners', 'scented', 'perfume', 'sachets', 'pkg', 'lot']",19,0.5221057829169695,
