,targetIndex,targetTitle,targetSearchQuery,targetRelevanceToQuery,targetDescription,"targetproduct_title,product_description_preprocessed",similarIndex,similarTitle,similarSearchQuery,similarRelevanceToQuery,similarDescription,"similarproduct_title,product_description_preprocessed",WMDRank,WMDSimilarity,WMDAccuracy
0,200,7 Color Ultrasonic Home Aroma Humidifier Air Diffuser Purifier Lonizer Atomizer,aroma diffuser,4.0,,"['color', 'ultrasonic', 'home', 'aroma', 'humidifier', 'air', 'diffuser', 'purifier', 'lonizer', 'atomizer']",200,7 Color Ultrasonic Home Aroma Humidifier Air Diffuser Purifier Lonizer Atomizer,aroma diffuser,4.0,,"['color', 'ultrasonic', 'home', 'aroma', 'humidifier', 'air', 'diffuser', 'purifier', 'lonizer', 'atomizer']",0,1.0,1.0
1,,,,,,,202,7 Color Ultrasonic Home Aroma Humidifier Air Diffuser Purifier Lonizer Atomizer,aroma diffuser,3.67,,"['color', 'ultrasonic', 'home', 'aroma', 'humidifier', 'air', 'diffuser', 'purifier', 'lonizer', 'atomizer']",1,1.0,
2,,,,,,,220,7 Colors Ultrasonic Aroma Humidifier Cool Air Diffuser Purifier Lonizer Atomizer,aroma diffuser,3.33,,"['colors', 'ultrasonic', 'aroma', 'humidifier', 'cool', 'air', 'diffuser', 'purifier', 'lonizer', 'atomizer']",2,0.8100501333288769,
3,,,,,,,222,HOT 1.5L Ultrasonic Home Aroma Humidifier Air Diffuser Purifier Ionizer Atomizer,aroma diffuser,3.67,,"['hot', 'ultrasonic', 'home', 'aroma', 'humidifier', 'air', 'diffuser', 'purifier', 'ionizer', 'atomizer']",3,0.8050224854699854,
4,,,,,,,223,Ultrasonic Aroma Diffuser Humidifier 100ML LED Color Change Air Mist Purifier,aroma diffuser,3.67,,"['ultrasonic', 'aroma', 'diffuser', 'humidifier', 'led', 'color', 'change', 'air', 'mist', 'purifier']",4,0.7200165971891843,
5,,,,,,,224,US Stock1.3L Ultrasonic LED Aroma Air Humidifier Diffuser Purifier Atomizer Mist,aroma diffuser,4.0,,"['us', 'ultrasonic', 'led', 'aroma', 'air', 'humidifier', 'diffuser', 'purifier', 'atomizer', 'mist']",5,0.7188144663764061,
6,,,,,,,214,Portable Ultrasonic Aroma Diffuser Cool Air Mist Humidifier Aromatherapy Home,aroma diffuser,3.4,,"['portable', 'ultrasonic', 'aroma', 'diffuser', 'cool', 'air', 'mist', 'humidifier', 'aromatherapy', 'home']",6,0.6769260970374498,
7,,,,,,,213,120ML Ultrasonic Aroma Oil Diffuser Air Humidifier Nebulizer LED Color Changing,aroma diffuser,4.0,,"['ultrasonic', 'aroma', 'oil', 'diffuser', 'air', 'humidifier', 'nebulizer', 'led', 'color', 'changing']",7,0.6659079271242908,
8,,,,,,,218,Ultrasonic Aroma Diffuser Air Humidifier Aromatherapy 7 Color Changing LED Light,aroma diffuser,4.0,,"['ultrasonic', 'aroma', 'diffuser', 'air', 'humidifier', 'aromatherapy', 'color', 'changing', 'led', 'light']",8,0.6604392932552594,
9,,,,,,,203,100ML Ceramic Ultrasonic Home Aroma Oil Diffuser Aromatherapy Humidifier Black,aroma diffuser,3.33,,"['ceramic', 'ultrasonic', 'home', 'aroma', 'oil', 'diffuser', 'aromatherapy', 'humidifier', 'black']",9,0.6597367173431863,
10,,,,,,,204,LED USB Ultrasonic Essential Oil Air Humidifier Aroma therapy Diffuser Atomizer,aroma diffuser,3.67,,"['led', 'usb', 'ultrasonic', 'essential', 'oil', 'air', 'humidifier', 'aroma', 'therapy', 'diffuser', 'atomizer']",10,0.6259511717560425,
11,,,,,,,206,700ML Aroma Oil Diffuser Ultrasonic Air Humidifier LED Auto Color Changing IN US,aroma diffuser,4.0,,"['aroma', 'oil', 'diffuser', 'ultrasonic', 'air', 'humidifier', 'led', 'auto', 'color', 'changing', 'us']",11,0.6229836369333219,
12,,,,,,,205,LED USB Essential Oil Ultrasonic Air Humidifier Aroma therapy Diffuser,aroma diffuser,4.0,,"['led', 'usb', 'essential', 'oil', 'ultrasonic', 'air', 'humidifier', 'aroma', 'therapy', 'diffuser']",12,0.6042920214667469,
13,,,,,,,211,US 100ML Ceramic Aroma Diffuser Humidifier Aromatherapy Ultrasonic Quiet On Sale,aroma diffuser,4.0,,"['us', 'ceramic', 'aroma', 'diffuser', 'humidifier', 'aromatherapy', 'ultrasonic', 'quiet', 'sale']",13,0.5900138672837261,
14,,,,,,,201,Ultrasonic Mini LED USB Essential Oil Air Humidifier Aromatherapy Aroma Diffuser,aroma diffuser,4.0,,"['ultrasonic', 'mini', 'led', 'usb', 'essential', 'oil', 'air', 'humidifier', 'aromatherapy', 'aroma', 'diffuser']",14,0.5879676365054779,
15,,,,,,,212,Mini LED USB Essential Oil Ultrasonic Air Humidifier Aromatherapy Aroma Diffuser,aroma diffuser,4.0,,"['mini', 'led', 'usb', 'essential', 'oil', 'ultrasonic', 'air', 'humidifier', 'aromatherapy', 'aroma', 'diffuser']",15,0.5879676365054779,
16,,,,,,,215,Mini LED USB Essential Oil Ultrasonic Air Humidifier Aromatherapy Aroma Diffuser,aroma diffuser,4.0,,"['mini', 'led', 'usb', 'essential', 'oil', 'ultrasonic', 'air', 'humidifier', 'aromatherapy', 'aroma', 'diffuser']",16,0.5879676365054779,
17,,,,,,,209,LED USB Essential Oil Ultrasonic Air Humidifier Aroma therapy Diffuser Excellent,aroma diffuser,4.0,,"['led', 'usb', 'essential', 'oil', 'ultrasonic', 'air', 'humidifier', 'aroma', 'therapy', 'diffuser', 'excellent']",17,0.5824788454893225,
18,,,,,,,208,Portable USB Portable Mini Water Humidifier Air Diffuser Aroma Mist Cute Pig New,aroma diffuser,3.67,,"['portable', 'usb', 'portable', 'mini', 'water', 'humidifier', 'air', 'diffuser', 'aroma', 'mist', 'cute', 'pig', 'new']",18,0.5403021189080067,
19,,,,,,,216,Essenza Home Fragrance Reed Diffusers,aroma diffuser,3.33,,"['essenza', 'home', 'fragrance', 'reed', 'diffusers']",19,0.49698645758897836,
