,targetIndex,targetTitle,targetSearchQuery,targetRelevanceToQuery,targetDescription,"targetproduct_title,product_description_preprocessed",similarIndex,similarTitle,similarSearchQuery,similarRelevanceToQuery,similarDescription,"similarproduct_title,product_description_preprocessed",WMDRank,WMDSimilarity,WMDAccuracy
0,374,English Roses Bedding Quilt Bedspread Coverlet 3 Piece Reversible King Set,bedspreads,4.0,,"['english', 'roses', 'bedding', 'quilt', 'bedspread', 'coverlet', 'piece', 'reversible', 'king', 'set']",381,English Roses Bedding Quilt Bedspread Coverlet 3 Piece Reversible King Set,bedspreads,4.0,,"['english', 'roses', 'bedding', 'quilt', 'bedspread', 'coverlet', 'piece', 'reversible', 'king', 'set']",0,1.0,0.95
1,,,,,,,374,English Roses Bedding Quilt Bedspread Coverlet 3 Piece Reversible King Set,bedspreads,4.0,,"['english', 'roses', 'bedding', 'quilt', 'bedspread', 'coverlet', 'piece', 'reversible', 'king', 'set']",1,1.0,
2,,,,,,,398,English Roses Bedding Quilt Bedspread Coverlet 2 Piece Reversible Twin Set,bedspreads,3.6,,"['english', 'roses', 'bedding', 'quilt', 'bedspread', 'coverlet', 'piece', 'reversible', 'twin', 'set']",2,0.887180682087285,
3,,,,,,,386,English Roses Bedding Quilt Bedspread Coverlet 3 PC Reversible King Set,bedspreads,3.33,,"['english', 'roses', 'bedding', 'quilt', 'bedspread', 'coverlet', 'pc', 'reversible', 'king', 'set']",3,0.8782647898396121,
4,,,,,,,389,English Roses Bedding Quilt Bedspread Coverlet 3 PC Reversible King Set,bedspreads,3.67,,"['english', 'roses', 'bedding', 'quilt', 'bedspread', 'coverlet', 'pc', 'reversible', 'king', 'set']",4,0.8782647898396121,
5,,,,,,,375,English Roses Bedding Quilt Bedspread Coverlet 3 PC Reversible Full Queen Set,bedspreads,3.67,,"['english', 'roses', 'bedding', 'quilt', 'bedspread', 'coverlet', 'pc', 'reversible', 'full', 'queen', 'set']",5,0.7566856502766998,
6,,,,,,,392,3Pcs Floral Queen Size Polyester Quilt Bedspread Set Bedding Coverlet Ensemble,bedspreads,2.67,,"['floral', 'queen', 'size', 'polyester', 'quilt', 'bedspread', 'set', 'bedding', 'coverlet', 'ensemble']",6,0.6437302507888346,
7,,,,,,,391,KING QUEEN REVERSIBLE SOLID DIAMOND MICROFIBER QUILT BEDSPREAD CONFORTER SET,bedspreads,4.0,,"['king', 'queen', 'reversible', 'solid', 'diamond', 'microfiber', 'quilt', 'bedspread', 'conforter', 'set']",7,0.6207413003752605,
8,,,,,,,390,4PC  KING QUEEN MICROFIBER QUILT COMFORTER BEDSPREAD BEDDING 6 COLORS REVERSIBLE,bedspreads,3.67,,"['king', 'queen', 'microfiber', 'quilt', 'comforter', 'bedspread', 'bedding', 'colors', 'reversible']",8,0.6163708563659759,
9,,,,,,,379,"All For you 3 pc reversible quilt set, bedspread,coverlet-twin/full/queen/king",bedspreads,4.0,,"['pc', 'reversible', 'quilt', 'set', 'bedspread']",9,0.584696258472391,
10,,,,,,,377,"66- All For You 3PC quilt set, bedspread and coverlet- reversible",bedspreads,3.2,,"['quilt', 'set', 'bedspread', 'reversible']",10,0.579884397387131,
11,,,,,,,388,Light Dark Blue Quilt Bedspread Coverlet Comforter Bedding KING Size Bed Bedroom,bedspreads,4.0,,"['light', 'dark', 'blue', 'quilt', 'bedspread', 'coverlet', 'comforter', 'bedding', 'king', 'size', 'bed', 'bedroom']",11,0.5751368495512931,
12,,,,,,,387,"12-All For You 3PC quilt set, bedspread, and coverlet set-burgundy-reversible",bedspreads,2.33,"For more designs and more options, please&nbsp;CLICK HERE TO OUR STORE","['quilt', 'set', 'bedspread', 'coverlet', 'designs', 'options', 'please', 'nbsp', 'click', 'store']",12,0.56451882784221,
13,,,,,,,383,"H-All For You 3PC quilt set, bedspread or coverlet-reversible",bedspreads,4.0,,"['quilt', 'set', 'bedspread']",13,0.5434643516981732,
14,,,,,,,394,"41-41 All For You 3PC quilt set, bedspread, coverlet-reversible",bedspreads,4.0,,"['quilt', 'set', 'bedspread']",14,0.5434643516981732,
15,,,,,,,376,"3 PC Quilt Bedspread Blue & White Floral Patchwork Design Full, Queen, King Size",bedspreads,4.0,,"['pc', 'quilt', 'bedspread', 'blue', 'white', 'floral', 'patchwork', 'design', 'full', 'queen', 'king', 'size']",15,0.5250975455548202,
16,,,,,,,258,"Earthenware 12 Piece Dinner Set Plain White 4xPlates,Bowls,Mugs Dishwasher Safe",white plain dinner set,3.67,,"['earthenware', 'piece', 'dinner', 'set', 'plain', 'white', 'bowls', 'mugs', 'dishwasher', 'safe']",16,0.5075260057178301,
17,,,,,,,382,Hotel Living Ribbed Coverlet Bedspread Full Queen New Sand Beige Matelasse $129.,bedspreads,3.33,,"['hotel', 'living', 'ribbed', 'coverlet', 'bedspread', 'full', 'queen', 'new', 'sand', 'beige', 'matelasse']",17,0.5028542803127941,
18,,,,,,,385,Modern Heirloom Adele QUEEN Embroidered Bedspread,bedspreads,4.0,,"['modern', 'heirloom', 'adele', 'queen', 'embroidered', 'bedspread']",18,0.4932876177667356,
19,,,,,,,393,LAMONT HOME Woven Jacquard QUEEN Cotton Bedspread White,bedspreads,4.0,,"['lamont', 'home', 'woven', 'jacquard', 'queen', 'cotton', 'bedspread', 'white']",19,0.4922783035950043,
