,targetIndex,targetTitle,targetSearchQuery,targetRelevanceToQuery,targetDescription,"targetproduct_title,product_description_preprocessed",similarIndex,similarTitle,similarSearchQuery,similarRelevanceToQuery,similarDescription,"similarproduct_title,product_description_preprocessed",WMDRank,WMDSimilarity,WMDAccuracy
0,100,Baratza Solis Maestro Conical Burr Coffee Bean Grinder Works Great Nice Cond,coffee grinder,4.0,,"['baratza', 'solis', 'maestro', 'conical', 'burr', 'coffee', 'bean', 'grinder', 'works', 'great', 'nice', 'cond']",100,Baratza Solis Maestro Conical Burr Coffee Bean Grinder Works Great Nice Cond,coffee grinder,4.0,,"['baratza', 'solis', 'maestro', 'conical', 'burr', 'coffee', 'bean', 'grinder', 'works', 'great', 'nice', 'cond']",0,1.0,1.0
1,,,,,,,117,Manual Spice Coffee Bean Pepper Grinder Stainless Steel Burr Ceramic Core,coffee grinder,4.0,,"['manual', 'spice', 'coffee', 'bean', 'pepper', 'grinder', 'stainless', 'steel', 'burr', 'ceramic', 'core']",1,0.5571953362473598,
2,,,,,,,105,"CUCINA ROMANA BURR COFFEE GRINDER, NEW IN BOX",coffee grinder,3.67,,"['cucina', 'romana', 'burr', 'coffee', 'grinder', 'new', 'box']",2,0.538121016677495,
3,,,,,,,102,Cuisinart 8-oz. Supreme Grind Automatic Burr Coffee Grinder,coffee grinder,4.0,,"['cuisinart', 'supreme', 'grind', 'automatic', 'burr', 'coffee', 'grinder']",3,0.5359816451656257,
4,,,,,,,122,Manual Spice Coffee Grinder Stainless Steel Burr Ceramic Core Coffee maker,coffee grinder,4.0,,"['manual', 'spice', 'coffee', 'grinder', 'stainless', 'steel', 'burr', 'ceramic', 'core', 'coffee', 'maker']",4,0.5338609444636199,
5,,,,,,,123,DeLonghi Stainless Steel Burr Coffee Grinder,coffee grinder,4.0,,"['delonghi', 'stainless', 'steel', 'burr', 'coffee', 'grinder']",5,0.5334042841709873,
6,,,,,,,107,Bodum Bistro Electric Burr Coffee Grinder - Red - (Brand New),coffee grinder,4.0,,"['bodum', 'bistro', 'electric', 'burr', 'coffee', 'grinder', 'red', 'brand', 'new']",6,0.5315490769261172,
7,,,,,,,101,Proctor Silex Fresh Grind Electric Coffee Bean Grinder White,coffee grinder,3.67,,"['proctor', 'silex', 'fresh', 'grind', 'electric', 'coffee', 'bean', 'grinder', 'white']",7,0.5298831780758798,
8,,,,,,,124,"Turkish Coffee Grinder, 6 Different Colors, 4.2''  Spice Grinder, Pepper Mill",coffee grinder,3.33,,"['turkish', 'coffee', 'grinder', 'different', 'colors', 'spice', 'grinder', 'pepper', 'mill']",8,0.5049661021928332,
9,,,,,,,120,Hario Ceramic Coffee Mill Hand Grinder Skerton MSCS-2TB,coffee grinder,4.0,,"['hario', 'ceramic', 'coffee', 'mill', 'hand', 'grinder', 'skerton']",9,0.5029000798689743,
10,,,,,,,108,"Light Copper Turkish Coffee Grinder, 4.2'' Spice Grinder, Pepper Mill",coffee grinder,3.67,,"['light', 'copper', 'turkish', 'coffee', 'grinder', 'spice', 'grinder', 'pepper', 'mill']",10,0.5008438170706933,
11,,,,,,,104,"KRUPS 203-42 Electric Spice and Coffee Grinder with Stainless Steel Blades, New",coffee grinder,3.33,,"['krups', 'electric', 'spice', 'coffee', 'grinder', 'stainless', 'steel', 'blades', 'new']",11,0.5005125698336506,
12,,,,,,,116,Vintage German PE DE Coffee Grinder !!!!!,coffee grinder,4.0,,"['vintage', 'german', 'pe', 'de', 'coffee', 'grinder']",12,0.4996822486048011,
13,,,,,,,121,"Hamilton Beach 80365 Custom Grind Hands-Free Coffee Grinder, Platinum, New",coffee grinder,4.0,,"['hamilton', 'beach', 'custom', 'grind', 'coffee', 'grinder', 'platinum', 'new']",13,0.49874899134169187,
14,,,,,,,109,Hamilton Beach Fresh Grind Coffee Grinder 80335 NEW in Box,coffee grinder,2.67,,"['hamilton', 'beach', 'fresh', 'grind', 'coffee', 'grinder', 'new', 'box']",14,0.4979110383445813,
15,,,,,,,114,Coffee  grinder,coffee grinder,4.0,,"['coffee', 'grinder']",15,0.49775909863727386,
16,,,,,,,113,Espresso Coffee Grinder Gaggia MDF Black #8002,coffee grinder,4.0,,"['espresso', 'coffee', 'grinder', 'gaggia', 'mdf', 'black']",16,0.49735709393508015,
17,,,,,,,103,Cuisinart Grind Central Coffee Grinder 18 Cup Brushed Stainless - Model DCG-12BC,coffee grinder,3.67,,"['cuisinart', 'grind', 'central', 'coffee', 'grinder', 'cup', 'brushed', 'stainless', 'model']",17,0.4970101900357428,
18,,,,,,,119,"Mr. Coffee IDS77 Electric Coffee Grinder with Chamber Maid Cleaning System,",coffee grinder,4.0,,"['coffee', 'electric', 'coffee', 'grinder', 'chamber', 'maid', 'cleaning', 'system']",18,0.49649422697604056,
19,,,,,,,111,"1 TURKISH COFFEE,SAL PEPPER GRINDER MILL BRASS HAND MILLED -  FAST SHIPPING -!",coffee grinder,2.33,,"['turkish', 'coffee', 'sal', 'pepper', 'grinder', 'mill', 'brass', 'hand', 'milled', 'fast', 'shipping']",19,0.4954016738065195,
