,targetIndex,targetTitle,targetSearchQuery,targetRelevanceToQuery,targetDescription,"targetproduct_title,product_description_preprocessed",similarIndex,similarTitle,similarSearchQuery,similarRelevanceToQuery,similarDescription,"similarproduct_title,product_description_preprocessed",WMDRank,WMDSimilarity,WMDAccuracy
0,275,"Graco Ready2Grow Classic Connect LX Double Stroller, Fiji",double stroller,4.0,,"['graco', 'classic', 'connect', 'lx', 'double', 'stroller', 'fiji']",275,"Graco Ready2Grow Classic Connect LX Double Stroller, Fiji",double stroller,4.0,,"['graco', 'classic', 'connect', 'lx', 'double', 'stroller', 'fiji']",0,1.0,0.9
1,,,,,,,294,Graco Ready2Grow Classic Connect Double Stroller  Fiji,double stroller,2.0,,"['graco', 'classic', 'connect', 'double', 'stroller', 'fiji']",1,0.8187919989922106,
2,,,,,,,299,BRAND NEW! Graco Ready2Grow Classic Connect LX Double Stroller (Metropolis),double stroller,2.33,,"['brand', 'new', 'graco', 'classic', 'connect', 'lx', 'double', 'stroller', 'metropolis']",2,0.6608228331622367,
3,,,,,,,280,"Graco Ready 2 Grow Classic Connect LX Double Stroller,Black baby stroller New",double stroller,4.0,,"['graco', 'ready', 'grow', 'classic', 'connect', 'lx', 'double', 'stroller', 'black', 'baby', 'stroller', 'new']",3,0.6169665133665772,
4,,,,,,,282,"Graco DuoGlider Classic Connect Stroller, Dragonfly (One-hand, Standing Fold)",double stroller,4.0,,"['graco', 'duoglider', 'classic', 'connect', 'stroller', 'dragonfly', 'standing', 'fold']",4,0.6022321735282989,
5,,,,,,,291,Phil and teds classic stroller double kit - second seat - black,double stroller,2.33,,"['phil', 'teds', 'classic', 'stroller', 'double', 'kit', 'second', 'seat', 'black']",5,0.5381315200380874,
6,,,,,,,288,InStep Safari Double Swivel Stroller,double stroller,3.67,,"['instep', 'safari', 'double', 'swivel', 'stroller']",6,0.5351905430665592,
7,,,,,,,277,INSTEP SAFARI DOUBLE CHILD/KID/BABY JOGGING STROLLER BLUE/GRAY AR278-A BKN2094,double stroller,4.0,,"['instep', 'safari', 'double', 'jogging', 'stroller']",7,0.5294011336988299,
8,,,,,,,278,Graco RoomFor2 Duo Stand & Ride Double Stroller - Metropolis,double stroller,4.0,,"['graco', 'duo', 'stand', 'ride', 'double', 'stroller', 'metropolis']",8,0.5290099081785838,
9,,,,,,,283,Black Baby Trend Double Sit-n-Stand Stroller (unisex),double stroller,4.0,,"['black', 'baby', 'trend', 'double', 'stroller', 'unisex']",9,0.5284653955771104,
10,,,,,,,295,Graco Ready2Grow LX Stand & Ride Duo Double Baby Stoller - Metropolis | 1812943,double stroller,3.67,,"['graco', 'lx', 'stand', 'ride', 'duo', 'double', 'baby', 'stoller', 'metropolis']",10,0.5260992765700477,
11,,,,,,,276,BABY TREND Expedition Double Jogging Stroller Swivel - Skylar | DJ96045,double stroller,4.0,,"['baby', 'trend', 'expedition', 'double', 'jogging', 'stroller', 'swivel', 'skylar']",11,0.5159147536573754,
12,,,,,,,287,Free Shipping - New Graco DuoGlider Dragonfly Standard Double Seat Stroller,double stroller,4.0,,"['free', 'shipping', 'new', 'graco', 'duoglider', 'dragonfly', 'standard', 'double', 'seat', 'stroller']",12,0.5058745168352937,
13,,,,,,,296,NEW! 2014 Baby Jogger City Mini Double Stroller - Crimson/Gray - FREE SHIPPING,double stroller,4.0,,"['new', 'baby', 'jogger', 'city', 'mini', 'double', 'stroller', 'free', 'shipping']",13,0.49597260305010343,
14,,,,,,,289,DOUBLE Stroller Baby  Strollers PINK  BEBELOVE 2 Seats Multiple Multi Twin New,double stroller,4.0,,"['double', 'stroller', 'baby', 'strollers', 'pink', 'bebelove', 'seats', 'multiple', 'multi', 'twin', 'new']",14,0.4957807798798948,
15,,,,,,,292,Phil & Teds S4 Double Stroller with Second Seat in Red New!! Open Box!!,double stroller,4.0,,"['phil', 'teds', 'double', 'stroller', 'second', 'seat', 'red', 'new', 'open', 'box']",15,0.49498886672425396,
16,,,,,,,281,Phil & Teds S4 Double Stroller with Second Seat in Black New!! Open Box!!,double stroller,4.0,,"['phil', 'teds', 'double', 'stroller', 'second', 'seat', 'black', 'new', 'open', 'box']",16,0.4949349791149738,
17,,,,,,,285,DOUBLE Stroller GREEN  Baby Strollers BEBELOVE 2 Seats Multiple Multi Twin Child,double stroller,4.0,,"['double', 'stroller', 'green', 'baby', 'strollers', 'bebelove', 'seats', 'multiple', 'multi', 'twin', 'child']",17,0.4930414353330915,
18,,,,,,,491,TOSHIBA CANVIO CONNECT 500GB  HDTC705XK3A1 EXTERNAL HARD DRIVE -FREE SHIPPING,extenal hardisk 500 gb,3.67,,"['toshiba', 'canvio', 'connect', 'external', 'hard', 'drive', 'shipping']",18,0.49000631037064357,
19,,,,,,,478,Toshiba Canvio Connect 500 GB Portable External Hard Drive HDTC705XK3A1 3.0,extenal hardisk 500 gb,4.0,,"['toshiba', 'canvio', 'connect', 'gb', 'portable', 'external', 'hard', 'drive']",19,0.48479783925017617,
