,targetIndex,targetTitle,targetSearchQuery,targetRelevanceToQuery,targetDescription,"targetproduct_title,product_description_preprocessed",similarIndex,similarTitle,similarSearchQuery,similarRelevanceToQuery,similarDescription,"similarproduct_title,product_description_preprocessed",WMDRank,WMDSimilarity,WMDAccuracy
0,474,Glyph GT050Q Hard Drive 500GB,extenal hardisk 500 gb,3.0,,"['glyph', 'hard', 'drive']",474,Glyph GT050Q Hard Drive 500GB,extenal hardisk 500 gb,3.0,,"['glyph', 'hard', 'drive']",0,1.0,1.0
1,,,,,,,497,wd external hard drive 500GB,extenal hardisk 500 gb,4.0,,"['wd', 'external', 'hard', 'drive']",1,0.6071686997399178,
2,,,,,,,489,Toshiba Canvio 500 GB Portable Hard Drive,extenal hardisk 500 gb,3.33,,"['toshiba', 'canvio', 'gb', 'portable', 'hard', 'drive']",2,0.5746057756492557,
3,,,,,,,498,G-Technology G-DRIVE 500GB USB 2.0 FireWire Portable External Hard Drive 0G01817,extenal hardisk 500 gb,4.0,,"['usb', 'firewire', 'portable', 'external', 'hard', 'drive']",3,0.5537290658501174,
4,,,,,,,483,"Buffalo DriveStation HD-CE500U2 500GB USB 2.0 3.5 External Hard Drive HDD""",extenal hardisk 500 gb,4.0,,"['buffalo', 'drivestation', 'usb', 'external', 'hard', 'drive', 'hdd']",4,0.5514579975098232,
5,,,,,,,495,LaCie 500 GB Rugged External Hard Drive Neil Poulton *With USB/Cords AND Case*,extenal hardisk 500 gb,4.0,,"['lacie', 'gb', 'rugged', 'external', 'hard', 'drive', 'neil', 'poulton']",5,0.5491738149268216,
6,,,,,,,491,TOSHIBA CANVIO CONNECT 500GB  HDTC705XK3A1 EXTERNAL HARD DRIVE -FREE SHIPPING,extenal hardisk 500 gb,3.67,,"['toshiba', 'canvio', 'connect', 'external', 'hard', 'drive', 'shipping']",6,0.5418400700680845,
7,,,,,,,486,Wdbaar5000abk-00.  Western Digital 500GB external USB hard drive,extenal hardisk 500 gb,4.0,,"['western', 'digital', 'external', 'usb', 'hard', 'drive']",7,0.5403380968074457,
8,,,,,,,496,500gb External Hard Drive USB 3.0 Perfect For Xbox One,extenal hardisk 500 gb,4.0,,"['external', 'hard', 'drive', 'usb', 'perfect', 'xbox', 'one']",8,0.5358505028007858,
9,,,,,,,478,Toshiba Canvio Connect 500 GB Portable External Hard Drive HDTC705XK3A1 3.0,extenal hardisk 500 gb,4.0,,"['toshiba', 'canvio', 'connect', 'gb', 'portable', 'external', 'hard', 'drive']",9,0.5313993604690868,
10,,,,,,,494,"Iomega eGo 500GB External 2.5 Portable Hard Drive HDD 31886500 Tested""",extenal hardisk 500 gb,4.0,,"['iomega', 'ego', 'external', 'portable', 'hard', 'drive', 'hdd', 'tested']",10,0.5253094727612143,
11,,,,,,,480,"Seagate Expansion 500GB Portable Hard Drive, Bus Powered #STBX500100",extenal hardisk 500 gb,4.0,,"['seagate', 'expansion', 'portable', 'hard', 'drive', 'bus', 'powered']",11,0.5221310010072177,
12,,,,,,,487,Toshiba Canvio Connect 500 GB Portable External Hard Drive 5400 RPM,extenal hardisk 500 gb,3.67,,"['toshiba', 'canvio', 'connect', 'gb', 'portable', 'external', 'hard', 'drive', 'rpm']",12,0.5165023377023817,
13,,,,,,,490,Iomega Prestige External Hard Drive 500GB LDHD-UP GRAY 31763600 FREE SHIPPING!!!,extenal hardisk 500 gb,4.0,,"['iomega', 'prestige', 'external', 'hard', 'drive', 'gray', 'free', 'shipping']",13,0.516460509890104,
14,,,,,,,476,NEW Toshiba Canvio Connect 500 GB Portable External Hard Drive HDTC705XK3A1 3.0,extenal hardisk 500 gb,4.0,,"['new', 'toshiba', 'canvio', 'connect', 'gb', 'portable', 'external', 'hard', 'drive']",14,0.5156967019585557,
15,,,,,,,475,CAVALRY USB EXTERNAL PORTABLE HARD DRIVE (500 GB) BLACK - MODEL CAUG25500B,extenal hardisk 500 gb,4.0,,"['cavalry', 'usb', 'external', 'portable', 'hard', 'drive', 'gb', 'black', 'model']",15,0.5084768559955395,
16,,,,,,,479,WESTERN DIGITAL MY PASSPORT ESSENTIAL 500GB USB 2.0 PORTABLE EXTERNAL HARD DRIVE,extenal hardisk 500 gb,4.0,,"['western', 'digital', 'passport', 'essential', 'usb', 'portable', 'external', 'hard', 'drive']",16,0.49980618739406824,
17,,,,,,,484,"500 GB 7200 rpm Drive SATA 3 with USB 3.0 2.5 Enclosure""",extenal hardisk 500 gb,4.0,,"['gb', 'rpm', 'drive', 'sata', 'usb', 'enclosure']",17,0.4915795161286544,
18,,,,,,,493,* BRAND NEW WESTERN DIGITAL  MY PASSPORT ULTRA 500GB USB 3.0 PORTABLE HARD DRIVE,extenal hardisk 500 gb,4.0,,"['brand', 'new', 'western', 'digital', 'passport', 'ultra', 'usb', 'portable', 'hard', 'drive']",18,0.4884053741827823,
19,,,,,,,492,NEW WD My DVR Expander 500GB eSATA External Hard Drive TiVo S3 HD WDG1S5000VN,extenal hardisk 500 gb,2.67,"Give your PC additional storage capacity with the WD My DVR Expander hard drive. With eSATA interface, this WD hard drive offers excellent connectivity to you PC. The huge storage capacity of this WD external HDD allows you to conveniently store all your music, movies, videos, data files and more. With 7200 rpm of rotational speed, this WD hard drive provides you with excellent data transfer speed. Weighing just 2.60 lb, the WD My DVR Expander hard drive can be easily carried wherever you go. The no-fan passive cooling system of this WD external HDD keeps the temperature under control and gives you a quiet performance.","['new', 'wd', 'dvr', 'expander', 'esata', 'external', 'hard', 'drive', 'tivo', 'hd', 'give', 'pc', 'additional', 'storage', 'capacity', 'wd', 'dvr', 'expander', 'hard', 'drive', 'esata', 'interface', 'wd', 'hard', 'drive', 'offers', 'excellent', 'connectivity', 'pc', 'huge', 'storage', 'capacity', 'wd', 'external', 'hdd', 'allows', 'conveniently', 'store', 'music', 'movies', 'videos', 'data', 'files', 'rpm', 'rotational', 'speed', 'wd', 'hard', 'drive', 'provides', 'excellent', 'data', 'transfer', 'speed', 'weighing', 'lb', 'wd', 'dvr', 'expander', 'hard', 'drive', 'easily', 'carried', 'wherever', 'go', 'passive', 'cooling', 'system', 'wd', 'external', 'hdd', 'keeps', 'temperature', 'control', 'gives', 'quiet', 'performance']",19,0.47593876949241887,
