,targetIndex,targetTitle,targetSearchQuery,targetRelevanceToQuery,targetDescription,"targetproduct_title,product_description_preprocessed",similarIndex,similarTitle,similarSearchQuery,similarRelevanceToQuery,similarDescription,"similarproduct_title,product_description_preprocessed",WMDRank,WMDSimilarity,WMDAccuracy
0,25,NEW! Clinique Repairwear Laser Focus Wrinkle Correcting Eye Cream  5ml,eye cream,4.0,,"['new', 'clinique', 'repairwear', 'laser', 'focus', 'wrinkle', 'correcting', 'eye', 'cream']",34,NEW! Clinique Repairwear Laser Focus Wrinkle Correcting Eye Cream  5ml,eye cream,3.75,,"['new', 'clinique', 'repairwear', 'laser', 'focus', 'wrinkle', 'correcting', 'eye', 'cream']",0,1.0,0.85
1,,,,,,,37,NEW! Clinique Repairwear Laser Focus Wrinkle Correcting Eye Cream 5ml,eye cream,4.0,,"['new', 'clinique', 'repairwear', 'laser', 'focus', 'wrinkle', 'correcting', 'eye', 'cream']",1,1.0,
2,,,,,,,42,NEW! Clinique Repairwear Laser Focus Wrinkle Correcting Eye Cream  .17oz / 5ml,eye cream,4.0,,"['new', 'clinique', 'repairwear', 'laser', 'focus', 'wrinkle', 'correcting', 'eye', 'cream']",2,1.0,
3,,,,,,,25,NEW! Clinique Repairwear Laser Focus Wrinkle Correcting Eye Cream  5ml,eye cream,4.0,,"['new', 'clinique', 'repairwear', 'laser', 'focus', 'wrinkle', 'correcting', 'eye', 'cream']",3,1.0,
4,,,,,,,30,new CLINIQUE Repairwear Laser Focus Wrinkle Correcting Eye Cream 0.17 oz/ 5 ml,eye cream,4.0,,"['new', 'clinique', 'repairwear', 'laser', 'focus', 'wrinkle', 'correcting', 'eye', 'cream', 'ml']",4,0.8716171357250276,
5,,,,,,,44,Clinique repairwear laser focus wrinkle correcting eye cream .5 oz 15ml,eye cream,4.0,,"['clinique', 'repairwear', 'laser', 'focus', 'wrinkle', 'correcting', 'eye', 'cream', 'oz']",5,0.8536662878194964,
6,,,,,,,35,3 Clinique Repairwear Laser Focus Wrinkle Correcting Eye Cream .17 oz/5 ml Each,eye cream,4.0,,"['clinique', 'repairwear', 'laser', 'focus', 'wrinkle', 'correcting', 'eye', 'cream', 'ml']",6,0.8504371590499449,
7,,,,,,,33,Clinique Repairwear Laser Focus Wrinkle Correcting Eye Cream Full Size .5oz 15mL,eye cream,3.67,,"['clinique', 'repairwear', 'laser', 'focus', 'wrinkle', 'correcting', 'eye', 'cream', 'full', 'size']",7,0.7783594218423264,
8,,,,,,,47,VELOUR SKIN EYE CREAM .5 FL OZ 15ML NEW NIP ANTI-AGING WRINKLE CREAM,eye cream,3.67,,"['velour', 'skin', 'eye', 'cream', 'fl', 'oz', 'new', 'nip', 'wrinkle', 'cream']",8,0.5901611441387404,
9,,,,,,,49,Murad Resurgence Renewing Eye Cream Anti-Aging .25 oz NEW Dark Circles Wrinkle,eye cream,4.0,,"['murad', 'resurgence', 'renewing', 'eye', 'cream', 'oz', 'new', 'dark', 'circles', 'wrinkle']",9,0.5800767093764179,
10,,,,,,,46,Jeunesse Instantly Ageless -- New Box Of 50 Sachets -- Eye - Face Wrinkle Cream,eye cream,3.67,,"['jeunesse', 'instantly', 'ageless', 'new', 'box', 'sachets', 'eye', 'face', 'wrinkle', 'cream']",10,0.5674543400005525,
11,,,,,,,153,Jeunesse Instantly Ageless -- New Box Of 50 Sachets -- Eye - Face Wrinkle Cream,face cream,4.0,,"['jeunesse', 'instantly', 'ageless', 'new', 'box', 'sachets', 'eye', 'face', 'wrinkle', 'cream']",11,0.5674543400005525,
12,,,,,,,27,Lancome Renergie Eye Anti-Wrinkle & Firming Eye Cream 0.5oz New,eye cream,4.0,,"['lancome', 'renergie', 'eye', 'firming', 'eye', 'cream', 'new']",12,0.5673178056586458,
13,,,,,,,38,Neutrogena Rapid Wrinkle Repair Eye Cream -0.5 Oz. -New-,eye cream,4.0,,"['neutrogena', 'rapid', 'wrinkle', 'repair', 'eye', 'cream', 'oz']",13,0.5588547236105835,
14,,,,,,,173,"Jeunesse Instantly Ageless,  Eye Face Wrinkle Cream NEW 10 Sachet FREE Shipping!",face cream,3.67,,"['jeunesse', 'instantly', 'ageless', 'eye', 'face', 'wrinkle', 'cream', 'new', 'sachet', 'free', 'shipping']",14,0.5536623147523637,
15,,,,,,,41,Obagi Elastiderm Eye Cream 0.5 oz. New In Box. 100% Authentic! New Packaging!,eye cream,4.0,,"['obagi', 'elastiderm', 'eye', 'cream', 'oz', 'new', 'box', 'authentic', 'new', 'packaging']",15,0.5510136755454375,
16,,,,,,,45,Caudalie Premier Cru The Eye Cream La Creme New Anti Aging Eye Treatment,eye cream,4.0,,"['caudalie', 'premier', 'cru', 'eye', 'cream', 'la', 'creme', 'new', 'anti', 'aging', 'eye', 'treatment']",16,0.5386223508591834,
17,,,,,,,29,Elastiderm Eye Cream (0.5oz/15g),eye cream,4.0,,"['elastiderm', 'eye', 'cream']",17,0.5199778101863534,
18,,,,,,,32,24K Gold Collagen Anti-Dark Circles Anti-Aging Bio Essence Repairing Eye Cream,eye cream,4.0,,"['gold', 'collagen', 'circles', 'bio', 'essence', 'repairing', 'eye', 'cream']",18,0.5196905462394397,
19,,,,,,,151,Luminesce Daily Moisturizing Complex Cream SPF30 Jeunesse Face Anti-Aging NEW,face cream,4.0,,"['luminesce', 'daily', 'moisturizing', 'complex', 'cream', 'jeunesse', 'face', 'new']",19,0.5196737654218153,
