,targetIndex,targetTitle,targetSearchQuery,targetRelevanceToQuery,targetDescription,"targetproduct_title,product_description_preprocessed",similarIndex,similarTitle,similarSearchQuery,similarRelevanceToQuery,similarDescription,"similarproduct_title,product_description_preprocessed",WMDRank,WMDSimilarity,WMDAccuracy
0,150,Luminesce Advance Night  Repair Cream Jeunesse Face Mosturizer 30 ml 1oz Wrinkle,face cream,3.67,,"['luminesce', 'advance', 'night', 'repair', 'cream', 'jeunesse', 'face', 'mosturizer', 'ml', 'wrinkle']",150,Luminesce Advance Night  Repair Cream Jeunesse Face Mosturizer 30 ml 1oz Wrinkle,face cream,3.67,,"['luminesce', 'advance', 'night', 'repair', 'cream', 'jeunesse', 'face', 'mosturizer', 'ml', 'wrinkle']",0,1.0,0.6
1,,,,,,,158,Luminesce Advance Night  Repair Cream Jeunesse Face Mosturizer 30 ml 1oz Wrinkle,face cream,4.0,,"['luminesce', 'advance', 'night', 'repair', 'cream', 'jeunesse', 'face', 'mosturizer', 'ml', 'wrinkle']",1,1.0,
2,,,,,,,153,Jeunesse Instantly Ageless -- New Box Of 50 Sachets -- Eye - Face Wrinkle Cream,face cream,4.0,,"['jeunesse', 'instantly', 'ageless', 'new', 'box', 'sachets', 'eye', 'face', 'wrinkle', 'cream']",2,0.5686949972292382,
3,,,,,,,46,Jeunesse Instantly Ageless -- New Box Of 50 Sachets -- Eye - Face Wrinkle Cream,eye cream,3.67,,"['jeunesse', 'instantly', 'ageless', 'new', 'box', 'sachets', 'eye', 'face', 'wrinkle', 'cream']",3,0.5686949972292382,
4,,,,,,,35,3 Clinique Repairwear Laser Focus Wrinkle Correcting Eye Cream .17 oz/5 ml Each,eye cream,4.0,,"['clinique', 'repairwear', 'laser', 'focus', 'wrinkle', 'correcting', 'eye', 'cream', 'ml']",4,0.5669563118703413,
5,,,,,,,38,Neutrogena Rapid Wrinkle Repair Eye Cream -0.5 Oz. -New-,eye cream,4.0,,"['neutrogena', 'rapid', 'wrinkle', 'repair', 'eye', 'cream', 'oz']",5,0.5620903486046758,
6,,,,,,,151,Luminesce Daily Moisturizing Complex Cream SPF30 Jeunesse Face Anti-Aging NEW,face cream,4.0,,"['luminesce', 'daily', 'moisturizing', 'complex', 'cream', 'jeunesse', 'face', 'new']",6,0.5600487246696293,
7,,,,,,,172,American Beauty Uplifting Firming Face Cream SPF 15 ~~ 1.7 oz/ 50 ml,face cream,4.0,,"['american', 'beauty', 'uplifting', 'firming', 'face', 'cream', 'spf', 'ml']",7,0.5549497568778508,
8,,,,,,,173,"Jeunesse Instantly Ageless,  Eye Face Wrinkle Cream NEW 10 Sachet FREE Shipping!",face cream,3.67,,"['jeunesse', 'instantly', 'ageless', 'eye', 'face', 'wrinkle', 'cream', 'new', 'sachet', 'free', 'shipping']",8,0.5543196465269081,
9,,,,,,,30,new CLINIQUE Repairwear Laser Focus Wrinkle Correcting Eye Cream 0.17 oz/ 5 ml,eye cream,4.0,,"['new', 'clinique', 'repairwear', 'laser', 'focus', 'wrinkle', 'correcting', 'eye', 'cream', 'ml']",9,0.5483129760969947,
10,,,,,,,157,StriVectin-TL Tightening SCULPTING FACE & Neck Cream 30ml 1 fl oz / 30 ml - NEW,face cream,4.0,,"['tightening', 'sculpting', 'face', 'neck', 'cream', 'fl', 'oz', 'ml', 'new']",10,0.541609830858739,
