,targetIndex,targetTitle,targetSearchQuery,targetRelevanceToQuery,targetDescription,"targetproduct_title,product_description_preprocessed",similarIndex,similarTitle,similarSearchQuery,similarRelevanceToQuery,similarDescription,"similarproduct_title,product_description_preprocessed",WMDRank,WMDSimilarity,WMDAccuracy
0,399,"Modern Indoor Cushion Kitchen Rug Anti-Fatigue Floor Mat - Actual 24 x 36""""",kitchen rugs,3.33,,"['modern', 'indoor', 'cushion', 'kitchen', 'rug', 'floor', 'mat', 'actual', 'x']",399,"Modern Indoor Cushion Kitchen Rug Anti-Fatigue Floor Mat - Actual 24 x 36""""",kitchen rugs,3.33,,"['modern', 'indoor', 'cushion', 'kitchen', 'rug', 'floor', 'mat', 'actual', 'x']",0,1.0,1.0
1,,,,,,,411,Modern Indoor Cushion Kitchen Rug Anti-Fatigue Floor Mat 18x30,kitchen rugs,3.67,,"['modern', 'indoor', 'cushion', 'kitchen', 'rug', 'floor', 'mat']",1,0.7725798968657039,
2,,,,,,,421,"Max Anti-Fatigue Kitchen Floor Mat Rug Indoor Cushion Fish Carpet 20 x 31"" New""",kitchen rugs,4.0,,"['max', 'kitchen', 'floor', 'mat', 'rug', 'indoor', 'cushion', 'fish', 'carpet', 'x', 'new']",2,0.6968554871633776,
3,,,,,,,410,"New Kitchen & Things Floor Mat Recycled Rag Rug 18x 28"" 100% Cotton Multi-Color""",kitchen rugs,4.0,,"['new', 'kitchen', 'things', 'floor', 'mat', 'recycled', 'rag', 'rug', 'cotton']",3,0.5817686785353389,
4,,,,,,,401,"Rooster Checkered Non Skid 18 x 30"" Kitchen Mat Rubber Back Rug CUC5529""",kitchen rugs,3.17,,"['rooster', 'checkered', 'non', 'skid', 'x', 'kitchen', 'mat', 'rubber', 'back', 'rug']",4,0.5676944274032588,
5,,,,,,,415,Pink Butterfly Floor Mat Rug Door Carpets Bath Home Indoor Kitchen Cotton Tub,kitchen rugs,3.33,,"['pink', 'butterfly', 'floor', 'mat', 'rug', 'door', 'carpets', 'bath', 'home', 'indoor', 'kitchen', 'cotton', 'tub']",5,0.5661315063140359,
6,,,,,,,416,Heart Bath Floor Mat Rug Door Carpets Bath Home Indoor Kitchen Cotton Tub,kitchen rugs,4.0,,"['heart', 'bath', 'floor', 'mat', 'rug', 'door', 'carpets', 'bath', 'home', 'indoor', 'kitchen', 'cotton', 'tub']",6,0.563573004127358,
7,,,,,,,403,"French Wine Glass Non Skid 18 x 30"" Kitchen Mat Rubber Back Rug CUC5519""",kitchen rugs,4.0,,"['french', 'wine', 'glass', 'non', 'skid', 'x', 'kitchen', 'mat', 'rubber', 'back', 'rug']",7,0.5561840363661463,
8,,,,,,,405,"Cafe Cappuccino Espresso Non Skid 18 x 30"" Kitchen Mat Rubber Back Rug CUC5549""",kitchen rugs,3.33,,"['cafe', 'cappuccino', 'espresso', 'non', 'skid', 'x', 'kitchen', 'mat', 'rubber', 'back', 'rug']",8,0.5548034483105801,
9,,,,,,,412,Home Traditional Contemporary Area Rug Door kitchen rug carpet mat non-slip,kitchen rugs,3.67,,"['home', 'traditional', 'contemporary', 'area', 'rug', 'door', 'kitchen', 'rug', 'carpet', 'mat']",9,0.5495986255402977,
10,,,,,,,417,"100% Cotton Rag Rug for Entry Way, Kitchen Bathroom 20 x 31.5"" Mustard""",kitchen rugs,4.0,,"['cotton', 'rag', 'rug', 'entry', 'way', 'kitchen', 'bathroom', 'x', 'mustard']",10,0.5379110770747199,
11,,,,,,,422,NEW Country Kitchen Braided Oval Accent Area Floor Rug Rooster,kitchen rugs,3.67,,"['new', 'country', 'kitchen', 'braided', 'oval', 'accent', 'area', 'floor', 'rug', 'rooster']",11,0.5295699042074893,
12,,,,,,,406,Vintage Fresh Picked Apples Fabric Non-slip Kitchen Rug Runner Door Mat 120x45cm,kitchen rugs,3.33,,"['vintage', 'fresh', 'picked', 'apples', 'fabric', 'kitchen', 'rug', 'runner', 'door', 'mat']",12,0.5277066025134276,
13,,,,,,,414,"Sara's Kitchen Beige 20X59"" Paisley Design Mat Runner Rug With Rubber Backing""",kitchen rugs,2.67,,"['sara', 'kitchen', 'beige', 'paisley', 'design', 'mat', 'runner', 'rug', 'rubber', 'backing']",13,0.5275104473591521,
14,,,,,,,418,"Welcome to My Sweet Home Birds Flowers Door Mat Kitchen Rug Runner 39.4x 15.7""""",kitchen rugs,3.33,,"['welcome', 'sweet', 'home', 'birds', 'flowers', 'door', 'mat', 'kitchen', 'rug', 'runner']",14,0.5230088207633578,
15,,,,,,,419,Welcome to My Sweet Home Birds Flowers Door Mat Kitchen Rug Runner 100x40cm,kitchen rugs,4.0,,"['welcome', 'sweet', 'home', 'birds', 'flowers', 'door', 'mat', 'kitchen', 'rug', 'runner']",15,0.5230088207633578,
16,,,,,,,408,"VERSATILE NON-SKID MEMORY FOAM MAT/RUG: KITCHEN, LAUNDRY, FRONT DOOR, 18 X 30""""",kitchen rugs,3.25,,"['versatile', 'memory', 'foam', 'kitchen', 'laundry', 'front', 'door', 'x']",16,0.5082851661680545,
17,,,,,,,407,Softy Collection Solid Runner Rug (20'X59') Bathroom Kitchen Various Colors,kitchen rugs,3.0,,"['softy', 'collection', 'solid', 'runner', 'rug', 'bathroom', 'kitchen', 'various', 'colors']",17,0.5062692843753028,
18,,,,,,,404,FISHING Lures Lunkers Bait & Tackle Cabin Lodge Home Decor Kitchen Rug Door Mat,kitchen rugs,4.0,,"['fishing', 'lures', 'lunkers', 'bait', 'tackle', 'cabin', 'lodge', 'home', 'decor', 'kitchen', 'rug', 'door', 'mat']",18,0.5025903983106612,
19,,,,,,,413,WalterDrake Kitchen Accent Rug,kitchen rugs,4.0,,"['walterdrake', 'kitchen', 'accent', 'rug']",19,0.502509728734704,
