,targetIndex,targetTitle,targetSearchQuery,targetRelevanceToQuery,targetDescription,"targetproduct_title,product_description_preprocessed",similarIndex,similarTitle,similarSearchQuery,similarRelevanceToQuery,similarDescription,"similarproduct_title,product_description_preprocessed",WMDRank,WMDSimilarity,WMDAccuracy
0,50,D-Link DIR-615 300Mbps Wireless-N Router 4-Port w/Firewall,routers,4.0,,['router'],50,D-Link DIR-615 300Mbps Wireless-N Router 4-Port w/Firewall,routers,4.0,,['router'],0,1.0,1.0
1,,,,,,,69,D-Link Wireless Router Model DIR-625,routers,4.0,,"['wireless', 'router', 'model']",1,0.5681954964034233,
2,,,,,,,65,"CISCO LINKSYS EA4500 DUAL-BAND N9000 WIRELESS ROUTER, 802.11N, UP TO 450 MBPs",routers,4.0,,"['cisco', 'linksys', 'wireless', 'router', 'mbps']",2,0.5500897843352952,
3,,,,,,,66,Netgear N300 v.3 300 Mbps 5-Port 10/100 Wireless N Router (WNR2000),routers,4.0,,"['netgear', 'mbps', 'wireless', 'n', 'router']",3,0.5371682015474338,
4,,,,,,,59,Netgear N600 300 Mbps 4-Port 10/100 Wireless N Router (WNDR3400),routers,3.67,,"['netgear', 'mbps', 'wireless', 'n', 'router']",4,0.5371682015474338,
5,,,,,,,74,Netgear AC1900 1300 Mbps 4-Port Gigabit Wireless AC Router (R7000),routers,4.0,,"['netgear', 'mbps', 'gigabit', 'wireless', 'ac', 'router']",5,0.536832840806791,
6,,,,,,,63,Netgear R6300V2 AC1750 1300 Mbps 4-Port Gigabit Wireless AC Router,routers,4.0,,"['netgear', 'mbps', 'gigabit', 'wireless', 'ac', 'router']",6,0.536832840806791,
7,,,,,,,54,Linksys EA6500 1300 Mbps 4-Port Gigabit Wireless AC Router,routers,2.33,,"['linksys', 'mbps', 'gigabit', 'wireless', 'ac', 'router']",7,0.5345487811272789,
8,,,,,,,62,Netgear N900 450 Mbps 4-Port Gigabit Wireless N Router (WNDR4500),routers,3.75,,"['netgear', 'mbps', 'gigabit', 'wireless', 'n', 'router']",8,0.5310761366708443,
9,,,,,,,52,Porter-Cable  3-1/4 HP Five-Speed Router 7518 - Power Tools   Routers,routers,2.6,,"['hp', 'router', 'power', 'tools', 'routers']",9,0.5284030223289594,
10,,,,,,,58,Netgear WNDR3400 N600 Wireless Dual Band Router (WNDR3400-100),routers,4.0,,"['netgear', 'wireless', 'dual', 'band', 'router']",10,0.5256645392650063,
11,,,,,,,60,NETGEAR N600 WNDR3400 Wireless Dual Band Router F/S,routers,3.67,,"['netgear', 'wireless', 'dual', 'band', 'router']",11,0.5256645392650063,
12,,,,,,,71,D-Link DIR-860L AC1200  4-Port Cloud Router Gigabit Wireless 802.11 AC,routers,4.0,,"['cloud', 'router', 'gigabit', 'wireless', 'ac']",12,0.5244012095263287,
13,,,,,,,72,D-Link DIR-862L Wireless AC1600 Dual Band Gigabit Router,routers,4.0,,"['wireless', 'dual', 'band', 'gigabit', 'router']",13,0.5220403686332357,
14,,,,,,,61,Netgear NIGHTHAWK  AC1900 1300 Mbps 4-Port Gigabit Wireless AC Router (R7000),routers,4.0,,"['netgear', 'nighthawk', 'mbps', 'gigabit', 'wireless', 'ac', 'router']",14,0.5173991819202812,
15,,,,,,,67,Netgear Nighthawk  R7000 2330 Mbps 4-Port Gigabit Wireless N Router...,routers,4.0,,"['netgear', 'nighthawk', 'mbps', 'gigabit', 'wireless', 'n', 'router']",15,0.5129336014441455,
16,,,,,,,53,Linksys EA6900 AC1900 Wi-Fi Wireless Router Dual Band with Gigabit &USB 3.0 Port,routers,4.0,,"['linksys', 'wireless', 'router', 'dual', 'band', 'gigabit', 'usb', 'port']",16,0.5064882714803228,
17,,,,,,,56,NETGEAR R6250 AC1600 Smart WiFi Dual Band Gigabit Router 802.11ac 300 1300 Mbps,routers,4.0,,"['netgear', 'smart', 'wifi', 'dual', 'band', 'gigabit', 'router', 'mbps']",17,0.5002656654150568,
18,,,,,,,68,Netgear N900  450 Mbps 4-Port Gigabit Wireless N Router R4500 ~ FreE ShiPPinG ~,routers,4.0,,"['netgear', 'mbps', 'gigabit', 'wireless', 'n', 'router', 'free', 'shipping']",18,0.49627503793184774,
19,,,,,,,64,Makita RT0701C 1-1/4 HP Compact Router With FACTORY WARRANTY!!!,routers,2.0,,"['makita', 'hp', 'compact', 'router', 'factory', 'warranty']",19,0.487406679234563,
