,targetIndex,targetTitle,targetSearchQuery,targetRelevanceToQuery,targetDescription,"targetproduct_title,product_description_preprocessed",similarIndex,similarTitle,similarSearchQuery,similarRelevanceToQuery,similarDescription,"similarproduct_title,product_description_preprocessed",WMDRank,WMDSimilarity,WMDAccuracy
0,75,Panasonic ES-LA63 Cordless Rechargeable  Men's Electric Shaver,shaver panasonic,3.33,,"['panasonic', 'cordless', 'rechargeable', 'men', 'electric', 'shaver']",75,Panasonic ES-LA63 Cordless Rechargeable  Men's Electric Shaver,shaver panasonic,3.33,,"['panasonic', 'cordless', 'rechargeable', 'men', 'electric', 'shaver']",0,1.0,1.0
1,,,,,,,80,Panasonic ES8103S Arc3 Electric Shaver Wet/Dry with Nanotech Blades for Men,shaver panasonic,2.8,,"['panasonic', 'electric', 'shaver', 'nanotech', 'blades', 'men']",1,0.7161532439768284,
2,,,,,,,95,Panasonic ES8103S Arc3 Men's Electric Shaver Wet/Dry with Nanotech Blades,shaver panasonic,3.0,,"['panasonic', 'men', 'electric', 'shaver', 'nanotech', 'blades']",2,0.7161532439768284,
3,,,,,,,77,Panasonic Es8092 Wet Dry Electric Razor Shaver Cordless,shaver panasonic,2.0,,"['panasonic', 'wet', 'dry', 'electric', 'razor', 'shaver', 'cordless']",3,0.6434758136754454,
4,,,,,,,87,PANASONIC ARC3 ES-LT33-S WET DRY WASHABLE RECHARGEABLE MEN'S ELECTRIC SHAVER NIB,shaver panasonic,4.0,,"['panasonic', 'wet', 'dry', 'washable', 'rechargeable', 'men', 'electric', 'shaver', 'nib']",4,0.640983048081815,
5,,,,,,,83,Panasonic Electric Shaver Rechargeable Wet / Dry Cordless Foil ES RT51s,shaver panasonic,4.0,,"['panasonic', 'electric', 'shaver', 'rechargeable', 'wet', 'dry', 'cordless', 'foil', 'es']",5,0.6303758315161685,
6,,,,,,,81,Panasonic ES8103S Arc3 Electric Shaver Wet/Dry with Nanotech Blades,shaver panasonic,4.0,,"['panasonic', 'electric', 'shaver', 'nanotech', 'blades']",6,0.6198658900732068,
7,,,,,,,85,Panasonic ES8103S Arc 3 E W/O POUCH & MANUAL Men's Wet/Dry Rechargeable Shaver,shaver panasonic,3.67,,"['panasonic', 'arc', 'e', 'pouch', 'manual', 'men', 'rechargeable', 'shaver']",7,0.6136291961399791,
8,,,,,,,94,Panasonic ES-LF51-A Arc4 Electric Shaver Wet/Dry with Flexible Pivoting Head,shaver panasonic,4.0,,"['panasonic', 'electric', 'shaver', 'flexible', 'pivoting', 'head']",8,0.6101646034002653,
9,,,,,,,97,Panasonic ES-534 Men's Electric Shaver New ES534 Battery Operated Compact Travel,shaver panasonic,4.0,,"['panasonic', 'men', 'electric', 'shaver', 'new', 'battery', 'operated', 'compact', 'travel']",9,0.5963840082900834,
