,targetIndex,targetTitle,targetSearchQuery,targetRelevanceToQuery,targetDescription,"targetproduct_title,product_description_preprocessed",similarIndex,similarTitle,similarSearchQuery,similarRelevanceToQuery,similarDescription,"similarproduct_title,product_description_preprocessed",WMDRank,WMDSimilarity,WMDAccuracy
0,349,Spider-Man IN HAND Marvel Legends Infinite Series Hobgoblin BAF Spiderman,spiderman,3.0,,"['hand', 'marvel', 'legends', 'infinite', 'series', 'hobgoblin', 'baf', 'spiderman']",349,Spider-Man IN HAND Marvel Legends Infinite Series Hobgoblin BAF Spiderman,spiderman,3.0,,"['hand', 'marvel', 'legends', 'infinite', 'series', 'hobgoblin', 'baf', 'spiderman']",0,1.0,1.0
1,,,,,,,354,Spider-man 2099 IN HAND Marvel Legends Infinite Series Hobgoblin BAF Spiderman,spiderman,3.2,,"['hand', 'marvel', 'legends', 'infinite', 'series', 'hobgoblin', 'baf', 'spiderman']",1,1.0,
2,,,,,,,352,Anti-Venom IN HAND Marvel Legends Infinite Series Hobgoblin BAF Spider-man,spiderman,2.67,,"['hand', 'marvel', 'legends', 'infinite', 'series', 'hobgoblin', 'baf']",2,0.8416925053503513,
3,,,,,,,359,Spider-woman IN HAND Marvel Legends Infinite Series Hobgoblin BAF Spider-man,spiderman,3.67,,"['hand', 'marvel', 'legends', 'infinite', 'series', 'hobgoblin', 'baf']",3,0.8416925053503513,
4,,,,,,,365,"DAREDEVIL - Marvel Legends Infinite 6 Spider-Man Series - BAF HOBGOBLIN/LOOSE""",spiderman,3.67,,"['daredevil', 'marvel', 'legends', 'infinite', 'series', 'baf']",4,0.6507169392510757,
5,,,,,,,357,"Marvel Legends Infinite Series Amazing Spiderman 6 Loose Action Figure""",spiderman,3.33,,"['marvel', 'legends', 'infinite', 'series', 'amazing', 'spiderman', 'loose', 'action', 'figure']",5,0.6415023243069328,
6,,,,,,,358,Marvel Legends Spider-man Infinite Series Set 7 Pcs - Rhino 2015 Pre-Order,spiderman,2.8,,"['marvel', 'legends', 'infinite', 'series', 'set', 'pcs', 'rhino']",6,0.6373183150179434,
7,,,,,,,364,MARVEL LEGENDS INFINITE SERIES SPIDER-MAN 2099 NEW,spiderman,3.33,,"['marvel', 'legends', 'infinite', 'series', 'new']",7,0.6352151514232802,
8,,,,,,,356,Marvel Legends Infinite Series Amazing Spider-Man 2 Electro loose complete,spiderman,2.33,,"['marvel', 'legends', 'infinite', 'series', 'amazing', 'electro', 'loose', 'complete']",8,0.6097438397046259,
9,,,,,,,355,Marvel Legends Infinite Series Amazing Spider-Man 6 Inch Action Figure LOOSE,spiderman,3.33,,"['marvel', 'legends', 'infinite', 'series', 'amazing', 'inch', 'action', 'figure', 'loose']",9,0.586756961262536,
10,,,,,,,371,Toybiz Marvel Legends Battle Ravaged Spider-Man Classics Action Figure Spiderman,spiderman,3.67,,"['toybiz', 'marvel', 'legends', 'battle', 'ravaged', 'classics', 'action', 'figure', 'spiderman']",10,0.5491683993800804,
11,,,,,,,353,Marvel Legends Spider-man classic Venom 6 inch action figure,spiderman,2.8,,"['marvel', 'legends', 'classic', 'venom', 'inch', 'action', 'figure']",11,0.5174640791988174,
12,,,,,,,361,New Lot 2 Marvel Legends Universe Venom The Amazing Spider-Man Figure FW561,spiderman,3.0,,"['new', 'lot', 'marvel', 'legends', 'universe', 'venom', 'amazing', 'figure']",12,0.5158981456873916,
13,,,,,,,368,Marvel Legends Spider Man Captain America Banshee Lot,spiderman,3.0,,"['marvel', 'legends', 'spider', 'man', 'captain', 'america', 'banshee', 'lot']",13,0.5136196651650632,
14,,,,,,,360,SPIDER MAN CLASSICS SERIES 2 DAREDEVIL MARVEL LEGEND TOY BIZ FIGURE 2001 6 INCH,spiderman,3.2,,"['spider', 'man', 'classics', 'series', 'daredevil', 'marvel', 'legend', 'toy', 'biz', 'figure', 'inch']",14,0.5091679368461175,
15,,,,,,,372,"Marvel Comic 6 Spiderman Spider-Man Movie Venom Loose Action Figure""",spiderman,2.0,,"['marvel', 'comic', 'spiderman', 'movie', 'venom', 'loose', 'action', 'figure']",15,0.5088845815502246,
16,,,,,,,351,MARVEL MOTORCYCLE COLLECTION SERIES 2 - SPIDER-MAN MIDNIGHT CHROME CHOPPER - MOC,spiderman,3.17,,"['marvel', 'motorcycle', 'collection', 'series', 'midnight', 'chrome', 'chopper', 'moc']",16,0.5071790335351335,
17,,,,,,,363,SPIDER-MAN MARVEL Diamond SELECT ACTION FIGURE New in Box spiderman,spiderman,3.6,,"['marvel', 'diamond', 'select', 'action', 'figure', 'new', 'box', 'spiderman']",17,0.5049176533060006,
18,,,,,,,366,MARVEL LEGENDS TOYBIZ SPIDER-MAN CLASSICS SERIES 2 SPIDER-MAN ACTION FIGURE NEW,spiderman,2.8,<strong>Click Here.  Double your traffic.  Get Vendio Gallery - Now FREE!</strong>,"['marvel', 'legends', 'toybiz', 'classics', 'series', 'action', 'figure', 'new', 'strong', 'click', 'double', 'traffic', 'get', 'vendio', 'gallery', 'free']",18,0.4982469797701084,
19,,,,,,,350,VENOM  MARVEL SUPER HEROES SPIDER-MAN TOYBIZ 1991 MOC 5 INCH,spiderman,2.33,,"['venom', 'marvel', 'super', 'heroes', 'toybiz', 'moc', 'inch']",19,0.49171880789656525,
