,targetIndex,targetTitle,targetSearchQuery,targetRelevanceToQuery,targetDescription,"targetproduct_title,product_description_preprocessed",similarIndex,similarTitle,similarSearchQuery,similarRelevanceToQuery,similarDescription,"similarproduct_title,product_description_preprocessed",WMDRank,WMDSimilarity,WMDAccuracy
0,250,"Corelle Plain White Dinner Plate 10 1/4 Set of 2""",white plain dinner set,3.67,,"['corelle', 'plain', 'white', 'dinner', 'plate', 'set']",250,"Corelle Plain White Dinner Plate 10 1/4 Set of 2""",white plain dinner set,3.67,,"['corelle', 'plain', 'white', 'dinner', 'plate', 'set']",0,1.0,1.0
1,,,,,,,261,SET OF 11 PLAIN WHITE 10.75 inch DINNER PLATES,white plain dinner set,4.0,,"['set', 'plain', 'white', 'inch', 'dinner', 'plates']",1,0.7267801520362527,
2,,,,,,,259,SET OF 7 PLAIN WHITE 10.75 inch DINNER PLATES chipped,white plain dinner set,3.2,,"['set', 'plain', 'white', 'inch', 'dinner', 'plates', 'chipped']",2,0.6640844467417246,
3,,,,,,,265,Antique 1850's Plain White Ironstone Dinner Plate B. B. M. & Co. w/Stag England,white plain dinner set,3.33,,"['antique', 'plain', 'white', 'ironstone', 'dinner', 'plate', 'england']",3,0.6385043016237484,
4,,,,,,,269,"Mikasa CLASSIC FLAIR WHITE 10 3/4 Dinner Plates Set of 2""",white plain dinner set,3.0,,"['mikasa', 'classic', 'flair', 'white', 'dinner', 'plates', 'set']",4,0.63113515221217,
5,,,,,,,256,"SET/ 4 Corning PYROCERAM Dinner Plates 10 Across Plain White Solid""",white plain dinner set,3.67,,"['corning', 'pyroceram', 'dinner', 'plates', 'across', 'plain', 'white', 'solid']",5,0.589111279531674,
6,,,,,,,252,Pfaltzgraff Gazebo White Plain Solid Scalloped Dinner Plates Lot Set - 3 RETIRED,white plain dinner set,3.67,,"['pfaltzgraff', 'gazebo', 'white', 'plain', 'solid', 'scalloped', 'dinner', 'plates', 'lot', 'set', 'retired']",6,0.5812974002244077,
7,,,,,,,266,Set Of 8 Pc Corelle City Block Black White Dinner & Dessert Plates,white plain dinner set,2.33,,"['set', 'pc', 'corelle', 'city', 'block', 'black', 'white', 'dinner', 'dessert', 'plates']",7,0.576645605853854,
8,,,,,,,253,Corelle White Frost Dinner Plates Set Lot of 6 Plain Solid 10 1/4 Winter Corning,white plain dinner set,4.0,,"['corelle', 'white', 'frost', 'dinner', 'plates', 'set', 'lot', 'plain', 'solid', 'winter', 'corning']",8,0.5749325890719881,
9,,,,,,,258,"Earthenware 12 Piece Dinner Set Plain White 4xPlates,Bowls,Mugs Dishwasher Safe",white plain dinner set,3.67,,"['earthenware', 'piece', 'dinner', 'set', 'plain', 'white', 'bowls', 'mugs', 'dishwasher', 'safe']",9,0.565795910084782,
10,,,,,,,271,"Sterling China Dinner Plates, Set Of Four, White With Blue, Restaurant Ware",white plain dinner set,2.67,,"['sterling', 'china', 'dinner', 'plates', 'set', 'four', 'white', 'blue', 'restaurant', 'ware']",10,0.557329689620581,
11,,,,,,,255,20cm Round plain White China Dinner Plates Side Dish Bulk Set 6 & 12 Brand New,white plain dinner set,3.67,,"['round', 'plain', 'white', 'china', 'dinner', 'plates', 'side', 'dish', 'bulk', 'set', 'brand', 'new']",11,0.5539146528732922,
12,,,,,,,251,New Set of 6 White Plain Kitchen Placemats Place Mats Dinner Table Decor Party,white plain dinner set,1.6,,"['new', 'set', 'white', 'plain', 'kitchen', 'placemats', 'place', 'mats', 'dinner', 'table', 'decor', 'party']",12,0.5489081281997569,
13,,,,,,,270,Vintage Embroidered & AppliquÌ_å©d Set 6 White Work Madeira Style Dinner Napkins,white plain dinner set,2.67,,"['vintage', 'embroidered', 'set', 'white', 'work', 'madeira', 'style', 'dinner', 'napkins']",13,0.5463693813175996,
14,,,,,,,273,8 PC MATCHING VINTAGE PLAIN BLUE WHITE EDGED COTTON DINNER NAPKINS 13X14,white plain dinner set,1.67,,"['pc', 'matching', 'vintage', 'plain', 'blue', 'white', 'edged', 'cotton', 'dinner', 'napkins']",14,0.5436109644688616,
15,,,,,,,264,50 PLAIN SOLID COLORS Luncheon Dinner NAPKINS paper,white plain dinner set,1.33,,"['plain', 'solid', 'colors', 'luncheon', 'dinner', 'napkins', 'paper']",15,0.5386656904411824,
16,,,,,,,263,-28 VINTAGE WHITE DAMASK DINNER NAPKINS LARGE LOT,white plain dinner set,1.33,,"['vintage', 'white', 'damask', 'dinner', 'napkins', 'large', 'lot']",16,0.5263002018095753,
17,,,,,,,267,"(14) Colony Harvest DINNER PLATES Grapes Leaves White Milk Glass 9-3/4 Lot Set""",white plain dinner set,3.75,,"['colony', 'harvest', 'dinner', 'plates', 'grapes', 'leaves', 'white', 'milk', 'glass', 'lot', 'set']",17,0.5256667054045498,
18,,,,,,,260,50 TABLE PLACE CARDS Plain WHITE Name Settings Wedding Dinner Party Celebrations,white plain dinner set,1.67,,"['table', 'place', 'cards', 'plain', 'white', 'name', 'settings', 'wedding', 'dinner', 'party', 'celebrations']",18,0.5201745714623062,
19,,,,,,,272,50 PLAIN SOLID COLORS Dinner Hand towel NAPKINS paper,white plain dinner set,1.0,,"['plain', 'solid', 'colors', 'dinner', 'hand', 'towel', 'napkins', 'paper']",19,0.5186458167956548,
