,targetIndex,targetTitle,targetSearchQuery,targetRelevanceToQuery,targetDescription,"targetproduct_title,product_description_preprocessed",similarIndex,similarTitle,similarSearchQuery,similarRelevanceToQuery,similarDescription,"similarproduct_title,product_description_preprocessed",WMDRank,WMDSimilarity,WMDAccuracy
0,324,2.4GHz Red Wireless Optical Mouse Mice + USB Receiver for PC Laptop Macbook,wireless mouse,4.0,,"['red', 'wireless', 'optical', 'mouse', 'mice', 'usb', 'receiver', 'pc', 'laptop', 'macbook']",324,2.4GHz Red Wireless Optical Mouse Mice + USB Receiver for PC Laptop Macbook,wireless mouse,4.0,,"['red', 'wireless', 'optical', 'mouse', 'mice', 'usb', 'receiver', 'pc', 'laptop', 'macbook']",0,1.0,1.0
1,,,,,,,339,2.4GHz Blue Wireless Optical Mouse Mice + USB Receiver for PC Laptop Macbook,wireless mouse,4.0,,"['blue', 'wireless', 'optical', 'mouse', 'mice', 'usb', 'receiver', 'pc', 'laptop', 'macbook']",1,0.9306688811140764,
2,,,,,,,330,2.4GHz Black Wireless Optical Mouse Mice + USB Receiver for PC Laptop Macbook,wireless mouse,3.67,,"['black', 'wireless', 'optical', 'mouse', 'mice', 'usb', 'receiver', 'pc', 'laptop', 'macbook']",2,0.9077910897327212,
3,,,,,,,332,2.4GHz Wireless Cordless Optical Mouse Mice + USB Receiver for PC Laptop Macbook,wireless mouse,3.67,,"['wireless', 'cordless', 'optical', 'mouse', 'mice', 'usb', 'receiver', 'pc', 'laptop', 'macbook']",3,0.8745589768510029,
4,,,,,,,340,2.4 GHz Wireless Optical Mouse Mice + USB 2.0 Receiver for PC Laptop Black XGT,wireless mouse,4.0,,"['ghz', 'wireless', 'optical', 'mouse', 'mice', 'usb', 'receiver', 'pc', 'laptop', 'black', 'xgt']",4,0.8367150345572593,
5,,,,,,,344,2.4GHz Wireless Optical Mouse Mice with USB Receiver For PC Laptop New Blue,wireless mouse,4.0,,"['wireless', 'optical', 'mouse', 'mice', 'usb', 'receiver', 'pc', 'laptop', 'new', 'blue']",5,0.8249403351342796,
6,,,,,,,342,2.4GHz Wireless Cordless Optical Mouse Mice DPI USB Receiver for PC Laptop,wireless mouse,4.0,,"['wireless', 'cordless', 'optical', 'mouse', 'mice', 'dpi', 'usb', 'receiver', 'pc', 'laptop']",6,0.7955515346897859,
7,,,,,,,333,New 2.4GHz Wireless Optical Mouse Mice + USB Receiver For PC Laptop Computer ERF,wireless mouse,4.0,,"['new', 'wireless', 'optical', 'mouse', 'mice', 'usb', 'receiver', 'pc', 'laptop', 'computer', 'erf']",7,0.7480603227231524,
8,,,,,,,341,Orange 2.4GHz Wireless Optical Gaming Mouse for Computer PC Laptop USB Receiver,wireless mouse,3.67,,"['orange', 'wireless', 'optical', 'gaming', 'mouse', 'computer', 'pc', 'laptop', 'usb', 'receiver']",8,0.747816066215229,
9,,,,,,,346,2.4GHz Cordless Wireless Optical USB Mouse Mice 4 Laptop PC Black #B,wireless mouse,2.67,,"['cordless', 'wireless', 'optical', 'usb', 'mouse', 'mice', 'laptop', 'pc', 'black', 'b']",9,0.7346034660029749,
10,,,,,,,329,2.4GHz Wireless Cordless Optical Mouse Mice +USB Receiver for PC Laptop,wireless mouse,4.0,,"['wireless', 'cordless', 'optical', 'mouse', 'mice', 'receiver', 'pc', 'laptop']",10,0.72916745660353,
11,,,,,,,327,2.4 GHz Optical USB Wireless Slim Mouse Black Receiver for Mac Laptop PC Macbook,wireless mouse,1.67,,"['ghz', 'optical', 'usb', 'wireless', 'slim', 'mouse', 'black', 'receiver', 'mac', 'laptop', 'pc', 'macbook']",11,0.7205775798170043,
12,,,,,,,347,High Quality 2.4GHz Wireless Optical Mouse Mice w/USB 2.0 Receiver for PC Laptop,wireless mouse,4.0,,"['high', 'quality', 'wireless', 'optical', 'mouse', 'mice', 'receiver', 'pc', 'laptop']",12,0.7198527609991161,
13,,,,,,,328,2.4 GHZ USB Wireless Optical  Mouse Cordless Mice for PC Laptop Black Car,wireless mouse,4.0,,"['ghz', 'usb', 'wireless', 'optical', 'mouse', 'cordless', 'mice', 'pc', 'laptop', 'black', 'car']",13,0.7086898760576552,
14,,,,,,,335,Wireless 2.4GHz USB Cordless Optical Scroll Mouse For PC Laptop Computer Black,wireless mouse,3.33,,"['wireless', 'usb', 'cordless', 'optical', 'scroll', 'mouse', 'pc', 'laptop', 'computer', 'black']",14,0.677889109304676,
15,,,,,,,338,2.4Ghz Mini portable Wireless Optical Gaming Mouse Mice For PC Laptop Black,wireless mouse,4.0,,"['mini', 'portable', 'wireless', 'optical', 'gaming', 'mouse', 'mice', 'pc', 'laptop', 'black']",15,0.6732304239013798,
16,,,,,,,345,2.4GHz Wireless Cordless Optical Mouse Mice 6 Key DPI for PC Laptop,wireless mouse,4.0,,"['wireless', 'cordless', 'optical', 'mouse', 'mice', 'key', 'dpi', 'pc', 'laptop']",16,0.6647227984247381,
17,,,,,,,336,2.4GHz Wireless Cordless Optical Mouse Mice 6 Key DPI for PC Laptop,wireless mouse,4.0,,"['wireless', 'cordless', 'optical', 'mouse', 'mice', 'key', 'dpi', 'pc', 'laptop']",17,0.6647227984247381,
18,,,,,,,325,2.4GHz High Quality Wireless Optical Mouse/Mice + USB 2.0 Receiver for PC Laptop,wireless mouse,3.67,,"['high', 'quality', 'wireless', 'optical', 'usb', 'receiver', 'pc', 'laptop']",18,0.6637650766540695,
19,,,,,,,334,2.4GHz High Quality Wireless Optical Mouse/Mice + USB 2.0 Receiver for PC Laptop,wireless mouse,4.0,,"['high', 'quality', 'wireless', 'optical', 'usb', 'receiver', 'pc', 'laptop']",19,0.6637650766540695,
